resource,source,target,ligand_complex,receptor_complex,donor_significant,significant_full
consensus,Pre-B small,NK,HLA-B,KLRD1,8,True
consensus,B naive,NK,HLA-B,KLRD1,8,True
consensus,B naive,NK,B2M,KLRD1,8,True
consensus,Plasmacytoid DC,Pre-B small,APP,CD74,8,True
consensus,Plasmacytoid DC,NK,HLA-B,KLRD1,8,True
consensus,Plasmacytoid DC,Plasmacytoid DC,APP,CD74,8,True
consensus,Plasmacytoid DC,NK,B2M,KLRD1,8,True
consensus,Plasmacytoid DC,Monocyte non-classical,APP,CD74,8,True
consensus,NK,CD8 T memory,HLA-B,CD8A,8,False
consensus,Plasmacytoid DC,Dendritic cell,APP,CD74,8,True
consensus,Plasmacytoid DC,B naive,APP,CD74,8,True
consensus,NK,NK,HLA-B,KLRD1,8,True
consensus,NK,NK,B2M,KLRC1,8,True
consensus,NK,NK,B2M,KLRD1,8,True
consensus,CD4 T memory,CD8 T memory,HLA-B,CD8A,8,False
consensus,NK,CD8 T memory,HLA-C,CD8A,8,True
consensus,NK,CD4 T memory,HLA-B,CD3D,8,False
consensus,Monocyte non-classical,NK,HLA-B,KLRD1,8,True
consensus,Monocyte non-classical,CD8 T memory,HLA-B,CD8A,8,False
consensus,Monocyte non-classical,NK,B2M,KLRD1,8,True
consensus,NK,CD8 T cytotoxic,HLA-B,KLRD1,8,False
consensus,NK,CD8 T cytotoxic,B2M,KLRD1,8,False
consensus,NK,CD8 T memory,HLA-A,CD8A,8,False
consensus,Monocyte classical,Monocyte classical,S100A8,CD36,8,True
consensus,Monocyte classical,Monocyte non-classical,S100A9,CD68,8,True
consensus,Monocyte classical,Monocyte non-classical,S100A8,ITGB2,8,True
consensus,Monocyte classical,Monocyte non-classical,S100A8,CD68,8,True
consensus,Monocyte classical,Monocyte classical,S100A9,ITGB2,8,True
consensus,Monocyte classical,Monocyte classical,S100A9,CD68,8,True
consensus,Monocyte classical,Monocyte classical,S100A9,CD36,8,True
consensus,CD4 T memory,NK,HLA-B,KLRD1,8,True
consensus,Monocyte classical,Monocyte non-classical,S100A9,ITGB2,8,True
consensus,Monocyte classical,NK,B2M,KLRD1,8,True
consensus,Monocyte classical,NK,HLA-B,KLRD1,8,True
consensus,CD4 T memory,NK,B2M,KLRD1,8,True
consensus,Monocyte classical,NK,S100A8,ITGB2,8,True
consensus,Monocyte classical,Plasmacytoid DC,S100A8,CD68,8,True
consensus,Monocyte classical,NK,S100A9,ITGB2,8,True
consensus,Monocyte classical,Plasmacytoid DC,S100A9,CD68,8,True
consensus,Monocyte classical,Pre-B small,S100A8,CD69,8,True
consensus,CD8 T memory,NK,HLA-B,KLRD1,8,True
consensus,CD8 T memory,NK,B2M,KLRD1,8,True
consensus,Dendritic cell,CD8 T cytotoxic,LGALS1,PTPRC,8,False
consensus,CD8 T memory,CD8 T memory,HLA-B,CD8A,8,False
consensus,CD8 T memory,CD8 T memory,HLA-A,CD8A,8,False
consensus,CD8 T memory,CD8 T cytotoxic,HLA-B,KLRD1,8,False
consensus,Dendritic cell,CD8 T memory,LGALS1,CD69,8,False
consensus,Dendritic cell,CD8 T memory,HLA-B,CD8A,8,False
consensus,Dendritic cell,NK,B2M,KLRD1,8,True
consensus,CD8 T memory,CD8 T cytotoxic,B2M,KLRD1,8,False
consensus,CD8 T memory,CD4 T memory,HLA-B,CD3D,8,False
consensus,Dendritic cell,CD8 T memory,LGALS1,PTPRC,8,False
consensus,Dendritic cell,NK,HLA-B,KLRD1,8,True
consensus,Granulocyte precursor,CD4 T memory,LGALS1,PTPRC,8,False
consensus,Granulocyte precursor,CD8 T cytotoxic,LGALS1,PTPRC,8,False
consensus,Granulocyte precursor,CD8 T cytotoxic,S100A8,ITGB2,8,True
consensus,Granulocyte precursor,CD8 T cytotoxic,S100A9,ITGB2,8,True
consensus,Monocyte classical,Granulocyte precursor,S100A9,ITGB2,8,False
consensus,Monocyte classical,Granulocyte precursor,S100A8,ITGB2,8,False
consensus,Monocyte classical,Erythroid late,S100A9,CD36,8,True
consensus,Monocyte classical,Erythroid late,S100A8,CD36,8,True
