resource,method,CellPhoneDB magnitude,NATMI magnitude,SingleCellSignalR magnitude,Merged magnitude,CellPhoneDB specificity,NATMI specificity,Connectome specificity,log2FC specificity,Merged specificity
consensus,CellPhoneDB magnitude,1.0,0.949246872151849,0.949246869817825,0.5717702352845215,0.274016580952188,0.23092695038684533,0.3580430169677677,0.37616732274207326,0.31105926671260165
consensus,NATMI magnitude,0.949246872151849,1.0,0.9999999999750094,0.5540728218315785,0.2549492184518305,0.24255029204591988,0.3395353983271517,0.366197782542743,0.3125213320789078
consensus,SingleCellSignalR magnitude,0.949246869817825,0.9999999999750094,1.0,0.5540728271908016,0.25494930953163686,0.24255035792452628,0.3395354497566605,0.36619781848238897,0.31252138215536696
consensus,Merged magnitude,0.5717702352845215,0.5540728218315785,0.5540728271908016,1.0,0.14995731908094684,0.14773570536041428,0.23071666340184396,0.23328152609515157,0.18535955124305994
consensus,CellPhoneDB specificity,0.274016580952188,0.2549492184518305,0.25494930953163686,0.14995731908094684,1.0,0.6528804207782527,0.7651584250467526,0.7764337869917288,0.7484113846249719
consensus,NATMI specificity,0.23092695038684533,0.24255029204591988,0.24255035792452628,0.14773570536041428,0.6528804207782527,1.0,0.8650133916908759,0.7749607517315776,0.8480739668845082
consensus,Connectome specificity,0.3580430169677677,0.3395353983271517,0.3395354497566605,0.23071666340184396,0.7651584250467526,0.8650133916908759,1.0,0.8727680244265817,0.8912360171995156
consensus,log2FC specificity,0.37616732274207326,0.366197782542743,0.36619781848238897,0.23328152609515157,0.7764337869917288,0.7749607517315776,0.8727680244265817,1.0,0.8830512690224155
consensus,Merged specificity,0.31105926671260165,0.3125213320789078,0.31252138215536696,0.18535955124305994,0.7484113846249719,0.8480739668845082,0.8912360171995156,0.8830512690224155,1.0
cellphonedb,CellPhoneDB magnitude,1.0,0.9515023923825874,0.9515023820786369,0.5700251921559986,0.36913550314780946,0.21472344788694056,0.42557461390616824,0.38073689353400414,0.3238115337910607
cellphonedb,NATMI magnitude,0.9515023923825874,1.0,0.99999999993174,0.5527924549252934,0.3570786316742048,0.22714143784853957,0.4236736587816328,0.38348422432074397,0.33517568623905275
cellphonedb,SingleCellSignalR magnitude,0.9515023820786369,0.99999999993174,1.0,0.552792422017158,0.3570788744029229,0.22714143947127502,0.4236737480368004,0.38348443685622535,0.33517568621617366
cellphonedb,Merged magnitude,0.5700251921559986,0.5527924549252934,0.552792422017158,1.0,0.20965263637919018,0.12141775331735637,0.29294744108877246,0.2276010904489329,0.18217338785551235
cellphonedb,CellPhoneDB specificity,0.36913550314780946,0.3570786316742048,0.3570788744029229,0.20965263637919018,1.0,0.6395217232375682,0.7795184149611579,0.7664442674986165,0.738733109147824
cellphonedb,NATMI specificity,0.21472344788694056,0.22714143784853957,0.22714143947127502,0.12141775331735637,0.6395217232375682,1.0,0.8451362048585327,0.7728145496169562,0.8413740073137015
cellphonedb,Connectome specificity,0.42557461390616824,0.4236736587816328,0.4236737480368004,0.29294744108877246,0.7795184149611579,0.8451362048585327,1.0,0.8784946679082152,0.8845335668959367
cellphonedb,log2FC specificity,0.38073689353400414,0.38348422432074397,0.38348443685622535,0.2276010904489329,0.7664442674986165,0.7728145496169562,0.8784946679082152,1.0,0.8798230839107201
cellphonedb,Merged specificity,0.3238115337910607,0.33517568623905275,0.33517568621617366,0.18217338785551235,0.738733109147824,0.8413740073137015,0.8845335668959367,0.8798230839107201,1.0
