resource,method,position,source,target,ligand_complex,receptor_complex,score
consensus,CellPhoneDB magnitude,1,NK,NK,B2M,KLRD1,3.739877
consensus,CellPhoneDB magnitude,2,CD8 T cytotoxic,NK,B2M,KLRD1,3.6725526
consensus,CellPhoneDB magnitude,3,CD8 T memory,NK,B2M,KLRD1,3.6331825
consensus,CellPhoneDB magnitude,4,CD4 T memory,NK,B2M,KLRD1,3.5219622
consensus,CellPhoneDB magnitude,5,T proliferating,NK,B2M,KLRD1,3.5138295
consensus,CellPhoneDB magnitude,6,Monocyte classical,NK,S100A9,ITGB2,3.4593103
consensus,CellPhoneDB magnitude,7,Monocyte non-classical,NK,B2M,KLRD1,3.4305303
consensus,CellPhoneDB magnitude,8,Monocyte classical,Erythroid early,S100A9,CD36,3.410087
consensus,CellPhoneDB magnitude,9,Monocyte classical,NK,S100A8,ITGB2,3.3926349
consensus,CellPhoneDB magnitude,10,Monocyte classical,T proliferating,S100A9,ITGB2,3.3904648
consensus,CellPhoneDB magnitude,11,Pre-B large,CD8 T memory,HMGB1,CXCR4,3.3855886
consensus,CellPhoneDB magnitude,12,Monocyte classical,Dendritic cell,S100A9,ITGB2,3.3788471
consensus,CellPhoneDB magnitude,13,Plasmacytoid DC,NK,B2M,KLRD1,3.375885
consensus,CellPhoneDB magnitude,14,Monocyte classical,Erythroid early,S100A8,CD36,3.3434114
consensus,CellPhoneDB magnitude,15,Pre-B large,Pre-B large,HMGB1,CXCR4,3.343348
consensus,CellPhoneDB magnitude,16,Monocyte classical,T proliferating,S100A8,ITGB2,3.3237894
consensus,CellPhoneDB magnitude,17,Monocyte classical,Dendritic cell,S100A8,ITGB2,3.312172
consensus,CellPhoneDB magnitude,18,Monocyte classical,T activated,S100A8,CD69,3.3035996
consensus,CellPhoneDB magnitude,19,CD4 T naive,NK,B2M,KLRD1,3.299649
consensus,CellPhoneDB magnitude,20,Monocyte classical,Monocyte non-classical,S100A9,CD68,3.268873
consensus,CellPhoneDB magnitude,21,Monocyte classical,Monocyte non-classical,S100A9,ITGB2,3.2682083
consensus,CellPhoneDB magnitude,22,Platelet,NK,B2M,KLRD1,3.2664726
consensus,CellPhoneDB magnitude,23,Monocyte classical,NK,B2M,KLRD1,3.2461524
