library,pathway,set_size,source,target,ligand_complex,receptor_complex,magnitude_rank,specificity_rank,significant
KEGG_2021_Human,Antigen processing and presentation,78,NK,NK,B2M,KLRD1,3.3306343865505135e-08,0.0114237864142464,True
KEGG_2021_Human,Antigen processing and presentation,78,CD8 T cytotoxic,NK,B2M,KLRD1,2.997327557473985e-07,0.0128695647201432,True
KEGG_2021_Human,Antigen processing and presentation,78,CD8 T memory,NK,B2M,KLRD1,5.328366614628256e-07,0.0138280327021835,True
KEGG_2021_Human,Antigen processing and presentation,78,CD4 T memory,NK,B2M,KLRD1,1.1987851321402158e-06,0.0170061161268332,True
KEGG_2021_Human,Antigen processing and presentation,78,T proliferating,NK,B2M,KLRD1,1.6316136463023807e-06,0.0172951970237182,True
KEGG_2021_Human,Antigen processing and presentation,78,Monocyte non-classical,NK,B2M,KLRD1,2.131000830463268e-06,0.0206213448157231,True
KEGG_2021_Human,Antigen processing and presentation,78,Plasmacytoid DC,NK,B2M,KLRD1,5.626032710486872e-06,0.0230872569742428,True
KEGG_2021_Human,Antigen processing and presentation,78,CD4 T naive,NK,B2M,KLRD1,1.201481221708865e-05,0.0262262377440225,True
KEGG_2021_Human,Antigen processing and presentation,78,Platelet,NK,B2M,KLRD1,1.6106540129232367e-05,0.0278537075273307,True
KEGG_2021_Human,Antigen processing and presentation,78,Monocyte classical,NK,B2M,KLRD1,1.760333536208794e-05,0.0286911433157594,True
KEGG_2021_Human,Antigen processing and presentation,78,T activated,NK,B2M,KLRD1,2.079620169890588e-05,0.0292990806220669,True
KEGG_2021_Human,Antigen processing and presentation,78,Pre-B small,NK,B2M,KLRD1,2.994045013362976e-05,0.0309604200085388,True
KEGG_2021_Human,Antigen processing and presentation,78,Dendritic cell,NK,B2M,KLRD1,3.622353566181191e-05,0.031598615580553,True
KEGG_2021_Human,Antigen processing and presentation,78,B naive,NK,B2M,KLRD1,4.074400396214294e-05,0.0330762004491165,True
KEGG_2021_Human,Antigen processing and presentation,78,Pre-B large,NK,B2M,KLRD1,0.0001867858721397,0.0490672045847317,True
KEGG_2021_Human,Antigen processing and presentation,78,CD8 T cytotoxic,NK,HLA-B,KLRD1,0.000234218426131,0.0080486630435061,True
KEGG_2021_Human,Graft-versus-host disease,42,CD8 T cytotoxic,NK,HLA-B,KLRD1,0.000234218426131,0.0080486630435061,True
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,131,CD8 T cytotoxic,NK,HLA-B,KLRD1,0.000234218426131,0.0080486630435061,True
KEGG_2021_Human,Antigen processing and presentation,78,CD8 T memory,NK,HLA-B,KLRD1,0.0002994437633562,0.008889744564774,True
KEGG_2021_Human,Graft-versus-host disease,42,CD8 T memory,NK,HLA-B,KLRD1,0.0002994437633562,0.008889744564774,True
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,131,CD8 T memory,NK,HLA-B,KLRD1,0.0002994437633562,0.008889744564774,True
KEGG_2021_Human,Antigen processing and presentation,78,NK,NK,HLA-B,KLRD1,0.0003450997304575,0.0093699051825452,True
KEGG_2021_Human,Graft-versus-host disease,42,NK,NK,HLA-B,KLRD1,0.0003450997304575,0.0093699051825452,True
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,131,NK,NK,HLA-B,KLRD1,0.0003450997304575,0.0093699051825452,True
KEGG_2021_Human,Antigen processing and presentation,78,T activated,NK,HLA-B,KLRD1,0.0005013983839205,0.0103592777320634,True
KEGG_2021_Human,Graft-versus-host disease,42,T activated,NK,HLA-B,KLRD1,0.0005013983839205,0.0103592777320634,True
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,131,T activated,NK,HLA-B,KLRD1,0.0005013983839205,0.0103592777320634,True
KEGG_2021_Human,Antigen processing and presentation,78,T proliferating,NK,HLA-B,KLRD1,0.0007154549208256,0.0113476299814006,True
KEGG_2021_Human,Graft-versus-host disease,42,T proliferating,NK,HLA-B,KLRD1,0.0007154549208256,0.0113476299814006,True
