resource,library,pathway,set_size,n_tested,n_significant,significant_share,fold_enrichment,n_lr_pairs,n_senders,n_receivers,ligands
consensus,KEGG_2021_Human,Gastric cancer,149,1,1,1.0,84.2974358974359,1,1,1,CDH1
consensus,Reactome_Pathways_2024,DAP12 Interactions,45,225,30,0.13333333333333333,11.23965811965812,3,15,1,B2M;HLA-B
consensus,Reactome_Pathways_2024,Antigen processing-Cross Presentation,96,158,18,0.11392405063291139,9.60350535540409,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,Class I MHC Mediated Antigen Processing & Presentation,373,158,18,0.11392405063291139,9.60350535540409,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,ER-Phagosome Pathway,80,158,18,0.11392405063291139,9.60350535540409,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,MyD88 Deficiency (TLR2 4),19,158,18,0.11392405063291139,9.60350535540409,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,Regulation of TLR by Endogenous Ligand,22,158,18,0.11392405063291139,9.60350535540409,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,Diseases Associated With the TLR Signaling Cascade,35,162,18,0.1111111111111111,9.366381766381766,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,Diseases of Immune System,35,162,18,0.1111111111111111,9.366381766381766,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,IRAK4 Deficiency (TLR2 4),20,162,18,0.1111111111111111,9.366381766381766,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,DAP12 Signaling,29,149,16,0.10738255033557047,9.052073653415937,2,15,1,B2M
consensus,Reactome_Pathways_2024,MyD88 MAL(TIRAP) Cascade Initiated on Plasma Membrane,115,198,20,0.10101010101010101,8.514892514892516,3,2,6,S100A12;S100A8;S100A9
consensus,Reactome_Pathways_2024,Toll Like Receptor 2 (TLR2) Cascade,118,198,20,0.10101010101010101,8.514892514892516,3,2,6,S100A12;S100A8;S100A9
consensus,Reactome_Pathways_2024,Toll Like Receptor TLR1 TLR2 Cascade,118,198,20,0.10101010101010101,8.514892514892516,3,2,6,S100A12;S100A8;S100A9
consensus,Reactome_Pathways_2024,Toll Like Receptor TLR6 TLR2 Cascade,115,198,20,0.10101010101010101,8.514892514892516,3,2,6,S100A12;S100A8;S100A9
consensus,Reactome_Pathways_2024,Toll Like Receptor 4 (TLR4) Cascade,148,497,44,0.08853118712273642,7.462952071402776,5,2,11,S100A12;S100A8;S100A9
consensus,Reactome_Pathways_2024,Toll-like Receptor Cascades,174,497,44,0.08853118712273642,7.462952071402776,5,2,11,S100A12;S100A8;S100A9
consensus,KEGG_2021_Human,Graft-versus-host disease,42,200,14,0.07,5.900820512820514,1,14,1,HLA-B
consensus,Reactome_Pathways_2024,Chemokine Receptors Bind Chemokines,57,77,5,0.06493506493506493,5.4738594738594735,2,4,2,CCL5;PF4
consensus,KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,100,89,5,0.056179775280898875,4.735811005473927,2,4,2,CCL5;PF4
