direction,pattern,interaction,loading
outgoing,pattern 1,APP -> CD74,0.02548973846826406
outgoing,pattern 2,APP -> CD74,0.0
outgoing,pattern 3,APP -> CD74,0.0
outgoing,pattern 4,APP -> CD74,0.02439464888516161
outgoing,pattern 1,B2M -> CD1C,0.0
outgoing,pattern 2,B2M -> CD1C,0.0
outgoing,pattern 3,B2M -> CD1C,0.09292705069954782
outgoing,pattern 4,B2M -> CD1C,0.17855271757210184
outgoing,pattern 1,B2M -> KLRC1,0.09911344344183337
outgoing,pattern 2,B2M -> KLRC1,0.03245765375865637
outgoing,pattern 3,B2M -> KLRC1,0.09126147106877176
outgoing,pattern 4,B2M -> KLRC1,0.24605652736855174
outgoing,pattern 1,B2M -> KLRC2,0.0
outgoing,pattern 2,B2M -> KLRC2,0.0
outgoing,pattern 3,B2M -> KLRC2,0.023731797527380614
outgoing,pattern 4,B2M -> KLRC2,0.0
outgoing,pattern 1,B2M -> KLRD1,0.2524917338674461
outgoing,pattern 2,B2M -> KLRD1,0.013227112123877836
outgoing,pattern 3,B2M -> KLRD1,0.08709924322214893
outgoing,pattern 4,B2M -> KLRD1,0.17995121887157559
outgoing,pattern 1,CCL5 -> CXCR3,0.0
outgoing,pattern 2,CCL5 -> CXCR3,0.0
outgoing,pattern 3,CCL5 -> CXCR3,0.06683012098484348
outgoing,pattern 4,CCL5 -> CXCR3,0.0
outgoing,pattern 1,CDH1 -> LRP5,0.0
outgoing,pattern 2,CDH1 -> LRP5,0.0
outgoing,pattern 3,CDH1 -> LRP5,0.0
outgoing,pattern 4,CDH1 -> LRP5,2.5540248037882367e-39
outgoing,pattern 1,CLEC1B -> KLRB1,0.0
outgoing,pattern 2,CLEC1B -> KLRB1,0.0
outgoing,pattern 3,CLEC1B -> KLRB1,0.0
outgoing,pattern 4,CLEC1B -> KLRB1,0.13966673349390488
outgoing,pattern 1,CXCL8 -> CD79A,0.000556972030080668
outgoing,pattern 2,CXCL8 -> CD79A,0.05852316119936722
outgoing,pattern 3,CXCL8 -> CD79A,0.0
outgoing,pattern 4,CXCL8 -> CD79A,0.004894273274256276
outgoing,pattern 1,ERFE -> LRP1,0.0
outgoing,pattern 2,ERFE -> LRP1,0.0
outgoing,pattern 3,ERFE -> LRP1,0.0
outgoing,pattern 4,ERFE -> LRP1,2.5540248037882367e-39
outgoing,pattern 1,HLA-A -> CD8A,0.0
outgoing,pattern 2,HLA-A -> CD8A,0.0
outgoing,pattern 3,HLA-A -> CD8A,0.09056191851222409
outgoing,pattern 4,HLA-A -> CD8A,0.0
outgoing,pattern 1,HLA-A -> LILRB2,0.0
outgoing,pattern 2,HLA-A -> LILRB2,0.0
outgoing,pattern 3,HLA-A -> LILRB2,0.09635763112253362
outgoing,pattern 4,HLA-A -> LILRB2,0.03784555542652477
outgoing,pattern 1,HLA-B -> CD8A,0.0
outgoing,pattern 2,HLA-B -> CD8A,0.0
outgoing,pattern 3,HLA-B -> CD8A,0.07079498453620334
outgoing,pattern 4,HLA-B -> CD8A,0.0
outgoing,pattern 1,HLA-B -> KLRD1,0.27651432895878914
outgoing,pattern 2,HLA-B -> KLRD1,0.016386196648844845
outgoing,pattern 3,HLA-B -> KLRD1,0.08977346386942507
outgoing,pattern 4,HLA-B -> KLRD1,0.02721965095200517
outgoing,pattern 1,HLA-B -> LILRB2,0.09175933177072336
outgoing,pattern 2,HLA-B -> LILRB2,0.0
outgoing,pattern 3,HLA-B -> LILRB2,0.09177365413727313
outgoing,pattern 4,HLA-B -> LILRB2,0.0
outgoing,pattern 1,HLA-C -> CD8A,0.0
outgoing,pattern 2,HLA-C -> CD8A,0.0
outgoing,pattern 3,HLA-C -> CD8A,0.07240938174305178
outgoing,pattern 4,HLA-C -> CD8A,0.0115741159145612
outgoing,pattern 1,HLA-C -> CD8B,0.0
outgoing,pattern 2,HLA-C -> CD8B,0.0
outgoing,pattern 3,HLA-C -> CD8B,0.03591736406437258
outgoing,pattern 4,HLA-C -> CD8B,0.0
outgoing,pattern 1,HLA-C -> LILRB2,0.0
outgoing,pattern 2,HLA-C -> LILRB2,0.0
outgoing,pattern 3,HLA-C -> LILRB2,0.09056191851222409
outgoing,pattern 4,HLA-C -> LILRB2,0.0
outgoing,pattern 1,HLA-DPB1 -> CD4,0.03934163451277067
outgoing,pattern 2,HLA-DPB1 -> CD4,0.0
outgoing,pattern 3,HLA-DPB1 -> CD4,0.0
outgoing,pattern 4,HLA-DPB1 -> CD4,0.0
outgoing,pattern 1,HLA-DRA -> CD4,0.0717473166752887
outgoing,pattern 2,HLA-DRA -> CD4,0.0
outgoing,pattern 3,HLA-DRA -> CD4,0.0
outgoing,pattern 4,HLA-DRA -> CD4,0.0
outgoing,pattern 1,HLA-DRB1 -> CD4,0.03934163451277067
outgoing,pattern 2,HLA-DRB1 -> CD4,0.0
outgoing,pattern 3,HLA-DRB1 -> CD4,0.0
outgoing,pattern 4,HLA-DRB1 -> CD4,0.0
outgoing,pattern 1,HMGB1 -> CXCR4,0.0303213651220618
outgoing,pattern 2,HMGB1 -> CXCR4,0.0
outgoing,pattern 3,HMGB1 -> CXCR4,0.0
outgoing,pattern 4,HMGB1 -> CXCR4,0.0
outgoing,pattern 1,LGALS1 -> CD69,0.007516695871343033
outgoing,pattern 2,LGALS1 -> CD69,0.09573290606465748
outgoing,pattern 3,LGALS1 -> CD69,0.0
outgoing,pattern 4,LGALS1 -> CD69,0.0
outgoing,pattern 1,LGALS1 -> ITGB1,0.000556972030080668
outgoing,pattern 2,LGALS1 -> ITGB1,0.05852316119936722
outgoing,pattern 3,LGALS1 -> ITGB1,0.0
outgoing,pattern 4,LGALS1 -> ITGB1,0.004894273274256276
outgoing,pattern 1,PF4 -> CXCR3,0.0
outgoing,pattern 2,PF4 -> CXCR3,0.0
outgoing,pattern 3,PF4 -> CXCR3,0.0
outgoing,pattern 4,PF4 -> CXCR3,0.13966673349390488
outgoing,pattern 1,S100A12 -> CD36,0.000556972030080668
outgoing,pattern 2,S100A12 -> CD36,0.05852316119936722
outgoing,pattern 3,S100A12 -> CD36,0.0
outgoing,pattern 4,S100A12 -> CD36,0.004894273274256276
outgoing,pattern 1,S100A8 -> CD36,0.0
outgoing,pattern 2,S100A8 -> CD36,0.07651483081131874
outgoing,pattern 3,S100A8 -> CD36,0.0
outgoing,pattern 4,S100A8 -> CD36,0.00019463909946988212
outgoing,pattern 1,S100A8 -> CD68,0.0
outgoing,pattern 2,S100A8 -> CD68,0.08711695559893855
outgoing,pattern 3,S100A8 -> CD68,0.0
outgoing,pattern 4,S100A8 -> CD68,0.0
outgoing,pattern 1,S100A8 -> CD69,0.0
outgoing,pattern 2,S100A8 -> CD69,0.07848611943946102
outgoing,pattern 3,S100A8 -> CD69,0.0
outgoing,pattern 4,S100A8 -> CD69,0.0
outgoing,pattern 1,S100A8 -> ITGB2,0.0
outgoing,pattern 2,S100A8 -> ITGB2,0.08409055850405682
outgoing,pattern 3,S100A8 -> ITGB2,0.0
outgoing,pattern 4,S100A8 -> ITGB2,0.0
outgoing,pattern 1,S100A9 -> CD36,0.0
outgoing,pattern 2,S100A9 -> CD36,0.07651483081131874
outgoing,pattern 3,S100A9 -> CD36,0.0
outgoing,pattern 4,S100A9 -> CD36,0.00019463909946988212
outgoing,pattern 1,S100A9 -> CD68,0.0
outgoing,pattern 2,S100A9 -> CD68,0.08711695559893855
outgoing,pattern 3,S100A9 -> CD68,0.0
outgoing,pattern 4,S100A9 -> CD68,0.0
outgoing,pattern 1,S100A9 -> ITGB2,0.0
outgoing,pattern 2,S100A9 -> ITGB2,0.08409055850405682
outgoing,pattern 3,S100A9 -> ITGB2,0.0
outgoing,pattern 4,S100A9 -> ITGB2,0.0
outgoing,pattern 1,TNFSF13B -> HLA-DPB1,0.06469186070846719
outgoing,pattern 2,TNFSF13B -> HLA-DPB1,0.09269583853777251
outgoing,pattern 3,TNFSF13B -> HLA-DPB1,0.0
outgoing,pattern 4,TNFSF13B -> HLA-DPB1,0.0
incoming,pattern 1,APP -> CD74,0.1619747719214855
incoming,pattern 2,APP -> CD74,0.03507938072324773
incoming,pattern 3,APP -> CD74,0.1814492760314351
incoming,pattern 4,APP -> CD74,0.007232596714965979
incoming,pattern 1,B2M -> CD1C,0.01816938555272431
incoming,pattern 2,B2M -> CD1C,0.016750844585166604
incoming,pattern 3,B2M -> CD1C,0.0
incoming,pattern 4,B2M -> CD1C,0.011843448765612543
incoming,pattern 1,B2M -> KLRC1,0.0
incoming,pattern 2,B2M -> KLRC1,0.04390691530292352
incoming,pattern 3,B2M -> KLRC1,0.0
incoming,pattern 4,B2M -> KLRC1,0.0
incoming,pattern 1,B2M -> KLRC2,0.0
incoming,pattern 2,B2M -> KLRC2,0.04390691530292352
incoming,pattern 3,B2M -> KLRC2,0.0
incoming,pattern 4,B2M -> KLRC2,0.0
incoming,pattern 1,B2M -> KLRD1,0.0
incoming,pattern 2,B2M -> KLRD1,0.04390691530292352
incoming,pattern 3,B2M -> KLRD1,0.0
incoming,pattern 4,B2M -> KLRD1,0.0
incoming,pattern 1,CCL5 -> CXCR3,0.0
incoming,pattern 2,CCL5 -> CXCR3,0.052874146263328356
incoming,pattern 3,CCL5 -> CXCR3,0.004015402422708282
incoming,pattern 4,CCL5 -> CXCR3,0.0
incoming,pattern 1,CDH1 -> LRP5,0.0
incoming,pattern 2,CDH1 -> LRP5,0.0
incoming,pattern 3,CDH1 -> LRP5,0.0
incoming,pattern 4,CDH1 -> LRP5,0.08590071441107144
incoming,pattern 1,CLEC1B -> KLRB1,0.0
incoming,pattern 2,CLEC1B -> KLRB1,0.04390691530292352
incoming,pattern 3,CLEC1B -> KLRB1,0.0
incoming,pattern 4,CLEC1B -> KLRB1,0.0
incoming,pattern 1,CXCL8 -> CD79A,0.0011260672342578285
incoming,pattern 2,CXCL8 -> CD79A,0.0
incoming,pattern 3,CXCL8 -> CD79A,0.06674927114072522
incoming,pattern 4,CXCL8 -> CD79A,0.0
incoming,pattern 1,ERFE -> LRP1,0.0125498297999035
incoming,pattern 2,ERFE -> LRP1,0.0
incoming,pattern 3,ERFE -> LRP1,0.0
incoming,pattern 4,ERFE -> LRP1,0.07462762484240472
incoming,pattern 1,HLA-A -> CD8A,0.0
incoming,pattern 2,HLA-A -> CD8A,0.052874146263328356
incoming,pattern 3,HLA-A -> CD8A,0.004015402422708282
incoming,pattern 4,HLA-A -> CD8A,0.0
incoming,pattern 1,HLA-A -> LILRB2,0.0490801955446593
incoming,pattern 2,HLA-A -> LILRB2,0.00096305813333481
incoming,pattern 3,HLA-A -> LILRB2,0.0
incoming,pattern 4,HLA-A -> LILRB2,0.0
incoming,pattern 1,HLA-B -> CD8A,0.0
incoming,pattern 2,HLA-B -> CD8A,0.052874146263328356
incoming,pattern 3,HLA-B -> CD8A,0.004015402422708282
incoming,pattern 4,HLA-B -> CD8A,0.0
incoming,pattern 1,HLA-B -> KLRD1,0.0
incoming,pattern 2,HLA-B -> KLRD1,0.04390691530292352
incoming,pattern 3,HLA-B -> KLRD1,0.0
incoming,pattern 4,HLA-B -> KLRD1,0.0
incoming,pattern 1,HLA-B -> LILRB2,0.0490801955446593
incoming,pattern 2,HLA-B -> LILRB2,0.00096305813333481
incoming,pattern 3,HLA-B -> LILRB2,0.0
incoming,pattern 4,HLA-B -> LILRB2,0.0
incoming,pattern 1,HLA-C -> CD8A,0.0
incoming,pattern 2,HLA-C -> CD8A,0.056765308573029014
incoming,pattern 3,HLA-C -> CD8A,0.026442025370367817
incoming,pattern 4,HLA-C -> CD8A,0.0
incoming,pattern 1,HLA-C -> CD8B,0.0
incoming,pattern 2,HLA-C -> CD8B,0.05773809915045417
incoming,pattern 3,HLA-C -> CD8B,0.03204868110728269
incoming,pattern 4,HLA-C -> CD8B,0.0
incoming,pattern 1,HLA-C -> LILRB2,0.0490801955446593
incoming,pattern 2,HLA-C -> LILRB2,0.00096305813333481
incoming,pattern 3,HLA-C -> LILRB2,0.0
incoming,pattern 4,HLA-C -> LILRB2,0.0
incoming,pattern 1,HLA-DPB1 -> CD4,0.04567531786336943
incoming,pattern 2,HLA-DPB1 -> CD4,0.0
incoming,pattern 3,HLA-DPB1 -> CD4,0.0
incoming,pattern 4,HLA-DPB1 -> CD4,0.0
incoming,pattern 1,HLA-DRA -> CD4,0.06211445005915841
incoming,pattern 2,HLA-DRA -> CD4,0.0
incoming,pattern 3,HLA-DRA -> CD4,0.0
incoming,pattern 4,HLA-DRA -> CD4,0.0
incoming,pattern 1,HLA-DRB1 -> CD4,0.04567531786336943
incoming,pattern 2,HLA-DRB1 -> CD4,0.0
incoming,pattern 3,HLA-DRB1 -> CD4,0.0
incoming,pattern 4,HLA-DRB1 -> CD4,0.0
incoming,pattern 1,HMGB1 -> CXCR4,0.0
incoming,pattern 2,HMGB1 -> CXCR4,0.0
incoming,pattern 3,HMGB1 -> CXCR4,0.31459060136922723
incoming,pattern 4,HMGB1 -> CXCR4,0.0
incoming,pattern 1,LGALS1 -> CD69,0.0
incoming,pattern 2,LGALS1 -> CD69,0.0
incoming,pattern 3,LGALS1 -> CD69,0.1077326777164193
incoming,pattern 4,LGALS1 -> CD69,0.0
incoming,pattern 1,LGALS1 -> ITGB1,0.014877123153149768
incoming,pattern 2,LGALS1 -> ITGB1,0.0
incoming,pattern 3,LGALS1 -> ITGB1,0.0
incoming,pattern 4,LGALS1 -> ITGB1,0.022387922710900156
incoming,pattern 1,PF4 -> CXCR3,0.0397795877354607
incoming,pattern 2,PF4 -> CXCR3,0.043997937714930754
incoming,pattern 3,PF4 -> CXCR3,0.0
incoming,pattern 4,PF4 -> CXCR3,0.0
incoming,pattern 1,S100A12 -> CD36,0.0
incoming,pattern 2,S100A12 -> CD36,0.0
incoming,pattern 3,S100A12 -> CD36,0.0004913677637490676
incoming,pattern 4,S100A12 -> CD36,0.16988116552230728
incoming,pattern 1,S100A8 -> CD36,0.011586651287761601
incoming,pattern 2,S100A8 -> CD36,0.0
incoming,pattern 3,S100A8 -> CD36,0.0
incoming,pattern 4,S100A8 -> CD36,0.26098886566884516
incoming,pattern 1,S100A8 -> CD68,0.14847658540278302
