source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Plasmacytoid DC,Dendritic cell,APP,CD74,3.0144258,0.0,6.6961546,2.5141872152047164,2.345370091047009,0.04685771,0.9712005,0.0023296159994817874,7.225320754734993e-07
Plasmacytoid DC,B naive,APP,CD74,2.9983869,0.0,6.649056,2.505064090725905,2.787858028418875,0.046528127,0.97110164,0.002601486433829587,2.8895822219190994e-06
Plasmacytoid DC,Plasmacytoid DC,APP,CD74,2.9641495,0.0,6.5485168,2.4855857750180803,2.2741382236302856,0.045824584,0.9708871,0.002742964597612869,6.500331764336431e-06
HSPC,Dendritic cell,MIF,CD74,2.8845398,0.0,5.5114427,1.1890997529722114,1.4185886502643434,0.010861468,0.968349,0.05789331968041655,1.8049650628647678e-05
HSPC,B naive,MIF,CD74,2.868501,0.0,5.4726768,1.1799766284934,1.8610765876362092,0.010785071,0.9682406,0.05789331968041655,2.5986582896509145e-05
HSPC,Plasmacytoid DC,MIF,CD74,2.8342636,0.0,5.3899255,1.1604983127855755,1.3473567828476196,0.010621992,0.96800554,0.05789331968041655,3.536393793124689e-05
Granulocyte precursor,Dendritic cell,MIF,CD74,2.8333254,0.0,5.044308,1.12871701968521,1.5432725176617428,0.009940879,0.96696323,0.05789331968041655,4.618089187311536e-05
Granulocyte precursor,B naive,MIF,CD74,2.8172865,0.0,5.0088277,1.1195938952063986,1.9857604550336085,0.0098709585,0.96685034,0.05789331968041655,5.843663982049222e-05
Plasmacytoid DC,Pre-B small,APP,CD74,2.7916646,0.0,6.0420094,2.387460287323939,2.0696388536324095,0.042280193,0.9697276,0.003189519292891315,8.72611903120612e-05
Granulocyte precursor,Plasmacytoid DC,MIF,CD74,2.783049,0.0,4.93309,1.1001155794985742,1.472040650245019,0.009721701,0.9666053,0.060385429051656656,0.0001038283782993439
T proliferating,Dendritic cell,MIF,CD74,2.8100133,0.0,4.8316746,1.1012317759489498,1.2595160174333073,0.00952184,0.96626836,0.06397764667609761,0.0001038283782993439
T proliferating,B naive,MIF,CD74,2.7939744,0.0,4.79769,1.0921086514701384,1.702003954805173,0.009454867,0.96615314,0.06604127663128224,0.00012183106013044815
T proliferating,Plasmacytoid DC,MIF,CD74,2.759737,0.0,4.725145,1.072630335762314,1.1882841500165835,0.0093119005,0.96590316,0.06901373561818733,0.00016213966791511425
Pre-B large,Dendritic cell,MIF,CD74,2.771713,0.0,4.4823294,1.0560745581355893,1.3712115739203272,0.008833381,0.96502364,0.08191782648210509,0.0002333484669121231
Pre-B large,B naive,MIF,CD74,2.7556741,0.0,4.4508023,1.0469514336567778,1.813699511292193,0.00877125,0.96490437,0.08340046446948428,0.0002599469695214064
Dendritic cell,Dendritic cell,MIF,CD74,2.7612453,0.0,4.386852,1.043732899703707,1.2358401450034355,0.008645223,0.9646585,0.08822851943249735,0.0002879752900455378
