source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Plasmacytoid DC,Dendritic cell,APP,CD74,3.0144258,0.0,6.6961546,2.5141872152047164,2.345370091047009,0.04685771,0.9712005,0.0023296159994817874,7.225320754734993e-07
Plasmacytoid DC,B naive,APP,CD74,2.9983869,0.0,6.649056,2.505064090725905,2.787858028418875,0.046528127,0.97110164,0.002601486433829587,2.8895822219190994e-06
Plasmacytoid DC,Plasmacytoid DC,APP,CD74,2.9641495,0.0,6.5485168,2.4855857750180803,2.2741382236302856,0.045824584,0.9708871,0.002742964597612869,6.500331764336431e-06
Plasmacytoid DC,Pre-B small,APP,CD74,2.7916646,0.0,6.0420094,2.387460287323939,2.0696388536324095,0.042280193,0.9697276,0.003189519292891315,8.72611903120612e-05
Platelet,T proliferating,PF4,CXCR3,2.5867689,0.0,2.8544621,8.472266546746845,4.128345905312782,0.33457825,0.9565553,3.632796261353096e-07,0.0020858047505991507
B naive,Monocyte non-classical,RPS19,C5AR1,2.5172267,0.0,2.457219,0.9263396922540874,0.73054072460709,0.032631475,0.95333284,0.04654609635179942,0.004007416553428889
CD4 T naive,Monocyte non-classical,RPS19,C5AR1,2.499339,0.0,2.4376264,0.8944238239556312,0.7287053530430484,0.03237129,0.95315444,0.04705858408702232,0.004900403391989766
Plasmacytoid DC,Pre-B large,APP,CD74,2.3403478,0.0,4.7167025,2.1307115959448333,1.3515743937038398,0.033006087,0.96587366,0.013619959633551663,0.010003652681738846
Platelet,Plasmacytoid DC,PF4,CXCR3,2.4839828,0.0,1.9200184,8.109457865345297,4.108871384732882,0.22504991,0.94752795,2.4869588060239477e-06,0.013789693528545106
Plasmacytoid DC,Monocyte non-classical,APP,CD74,2.2748504,0.0,4.524367,2.0934502499617027,1.4154501534670059,0.03166018,0.9651809,0.0172593934771485,0.014979536198831458
Monocyte classical,Dendritic cell,TNFSF13B,HLA-DPB1,2.1503198,0.0,2.9544983,1.619549247940372,2.3171245470426296,0.035723064,0.95726544,0.009475135322957736,0.021400065351524146
Plasmacytoid DC,T proliferating,APP,CD74,2.1183882,0.0,4.0649104,2.004440789318057,1.1265760370199345,0.028445039,0.96333593,0.027195945359462244,0.023364786839866095
Granulocyte precursor,Dendritic cell,TNFSF13B,HLA-DPB1,2.091528,0.0,2.5497327,1.5135684780641285,1.9227063250097582,0.03082901,0.9541481,0.016774266032640366,0.02489276257344932
Dendritic cell,Dendritic cell,TNFSF13B,HLA-DPB1,2.041671,0.0,2.2064812,1.4236941780894723,1.658026707232985,0.026678734,0.95087934,0.024808787154437083,0.02620157150419656
Monocyte non-classical,Dendritic cell,TNFSF13B,HLA-DPB1,1.9913914,0.0,1.8603187,1.3330576844470237,1.7289445267984545,0.022493256,0.9467371,0.03287634554483584,0.02700230126314785
Plasmacytoid DC,HSPC,APP,CD74,1.983218,0.0,3.6679788,1.9275440898670078,1.01853176804128,0.02566743,0.96147746,0.03905153426566792,0.027542541144702757
Platelet,B naive,APP,CD74,2.4291868,0.0,1.4938022,1.08661411394333,2.186199937917289,0.010453186,0.94092584,0.03614774911787547,0.031757390424254246
Monocyte classical,B naive,TNFSF13B,HLA-DPB1,1.7999587,0.0,2.353085,1.34258386360598,2.1049710621554434,0.028451331,0.95236003,0.027015142709953713,0.04337001894425575
T proliferating,NK,CLEC2D,KLRB1,1.7866504,0.0,2.1282947,1.2996520311298276,1.577024730630849,0.04564287,0.9500299,0.0034055810528448812,0.044386530479466696
Granulocyte precursor,B naive,TNFSF13B,HLA-DPB1,1.7411668,0.0,2.0307128,1.2366030937297365,1.710552840122572,0.024553504,0.948904,0.045280424729379654,0.049995416610713383
