source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
NK,NK,B2M,KLRD1,3.739877,0.0,11.058282,1.8037958156624425,2.083788886629522,0.030774225,0.9774453,0.011423786414246474,3.330634386550513e-08
CD8 T cytotoxic,NK,B2M,KLRD1,3.6725526,0.0,10.7851305,1.7233969952013297,2.0092020827949493,0.030014072,0.97716796,0.012869564720143202,2.997327557473985e-07
CD8 T memory,NK,B2M,KLRD1,3.6331825,0.0,10.625397,1.6763885396361375,1.9287506483715946,0.029569546,0.9770009,0.013828032702183569,5.328366614628256e-07
CD4 T memory,NK,B2M,KLRD1,3.5219622,0.0,10.174149,1.543577256487213,1.7442763313525709,0.028313762,0.97650826,0.01700611612683324,1.1987851321402158e-06
T proliferating,NK,B2M,KLRD1,3.5138295,0.0,10.141152,1.533868268056964,1.716331173104245,0.028221935,0.976471,0.017295197023718213,1.6316136463023807e-06
Monocyte non-classical,NK,B2M,KLRD1,3.4305303,0.0,9.803187,1.4344043646959577,1.6084647152527611,0.02728141,0.97607845,0.02062134481572313,2.131000830463268e-06
Pre-B large,CD8 T memory,HMGB1,CXCR4,3.3855886,0.0,10.852417,1.5211282667416064,2.193120470515231,0.0103413975,0.9772372,0.02477959028998921,4.0284330020989516e-06
Plasmacytoid DC,NK,B2M,KLRD1,3.375885,0.0,9.581478,1.3691483252723948,1.5227335660227408,0.026664412,0.97580993,0.023087256974242847,5.6260327104868714e-06
Pre-B large,Pre-B large,HMGB1,CXCR4,3.343348,0.0,10.500426,1.488191921567291,1.8976444014608758,0.010005981,0.9768676,0.02763534611776184,7.489671622450508e-06
CD4 T naive,NK,B2M,KLRD1,3.299649,0.0,9.272171,1.2781096600129005,1.388537313442241,0.025803635,0.9754196,0.026226237744022562,1.201481221708865e-05
Monocyte classical,NK,S100A9,ITGB2,3.4593103,0.0,8.625128,1.7212823005437845,3.741781124983765,0.053289156,0.9745373,0.001041022313267229,1.467618205419323e-05
Platelet,NK,B2M,KLRD1,3.2664726,0.0,9.137566,1.2384981571336862,1.6684986742599515,0.025429042,0.9752437,0.02785370752733073,1.6106540129232367e-05
Monocyte classical,NK,B2M,KLRD1,3.2461524,0.0,9.055122,1.2142388800207469,1.375107547264705,0.025199609,0.975134,0.028691143315759452,1.760333536208794e-05
T activated,NK,B2M,KLRD1,3.2301173,0.0,8.990064,1.1950865731340798,1.3458291113694765,0.025018558,0.97504646,0.0292990806220669,2.079620169890588e-05
Monocyte classical,NK,S100A8,ITGB2,3.3926349,0.0,8.407596,1.7145172390647685,3.669429291017063,0.057699993,0.9742185,0.0007718759948335247,2.079620169890588e-05
Pre-B large,Pre-B small,HMGB1,CXCR4,3.2091618,0.0,9.382257,1.3835610508749023,1.9792659276638687,0.008940464,0.9755607,0.03817706174076205,2.4254718897940013e-05
Pre-B large,B naive,HMGB1,CXCR4,3.2081366,0.0,9.373714,1.382761354717839,1.994725500996694,0.008932323,0.9755498,0.038508072477059334,2.6083578089835124e-05
Monocyte classical,Erythroid early,S100A9,CD36,3.410087,0.0,8.104607,2.3194794705664377,3.7970305093368726,0.114122644,0.9737535,4.624821178900937e-05,2.6083578089835124e-05
Pre-B small,NK,B2M,KLRD1,3.20494,0.0,8.887914,1.1650209872034045,1.2964572167476591,0.024734281,0.97490704,0.030960420008538898,2.994045013362976e-05
Monocyte classical,Erythroid early,S100A8,CD36,3.3434114,0.0,7.9002023,2.312714409087422,3.7246786753701704,0.12356878,0.9734251,4.803548010475457e-05,3.196845046574603e-05
Monocyte classical,T proliferating,S100A9,ITGB2,3.3904648,0.0,7.897108,1.6460463317719916,3.2518457551021487,0.048791185,0.97342,0.0014503567590472078,3.4062815010160976e-05
Dendritic cell,NK,B2M,KLRD1,3.1882384,0.0,8.820151,1.1450761036317605,1.2380078701520922,0.024545703,0.9748133,0.031598615580553074,3.622353566181191e-05
Monocyte classical,Dendritic cell,S100A9,ITGB2,3.3788471,0.0,7.774256,1.6333505378593853,3.265320487325148,0.04803216,0.9732164,0.0015564240353066318,3.622353566181191e-05
B naive,NK,B2M,KLRD1,3.160825,0.0,8.708928,1.11234347629022,1.2099703965019568,0.024236182,0.974657,0.03307620044911656,4.074400396214294e-05
Monocyte classical,T proliferating,S100A8,ITGB2,3.3237894,0.0,7.697937,1.6392812702929755,3.1794939211354465,0.05282972,0.97308755,0.0010927356127618194,4.3103744051271635e-05
Pre-B large,T activated,HMGB1,CXCR4,3.147527,0.0,8.868658,1.3355009766153572,1.734892989048911,0.008451049,0.9748805,0.04746072276902825,4.3103744051271635e-05
Monocyte classical,Dendritic cell,S100A8,ITGB2,3.312172,0.0,7.5781837,1.6265854763803693,3.1929686533584456,0.05200787,0.9728815,0.0011510507276547466,5.320586022732163e-05
Monocyte classical,T activated,S100A8,CD69,3.3035996,0.0,7.4898205,1.5906412066304256,3.3343951455785383,0.05975665,0.97272635,0.000653156048872431,5.8654687655436206e-05
Monocyte classical,CD8 T memory,S100A8,CD69,3.2403634,0.0,6.8379836,1.5254140339677031,3.4734125039395085,0.054556046,0.97149223,0.0009468310237146626,0.0001360742025619703
Plasmacytoid DC,Dendritic cell,APP,CD74,3.0144258,0.0,6.6961546,2.5141872152047164,2.345370091047009,0.04685771,0.9712005,0.001823480135814699,0.00015813416712313644
Plasmacytoid DC,B naive,APP,CD74,2.9983869,0.0,6.649056,2.505064090725905,2.787858028418875,0.046528127,0.97110164,0.00185714427999839,0.000167420609725196
