leiden_1.0,cells,doublet_score,pct_counts_mt,n_genes_by_counts,pct_counts_hb,pct_counts_ribo
0,5005,0.06,2.76,756.88,0.03,52.18
1,2713,0.06,3.05,810.25,0.03,47.64
2,5760,0.05,2.92,551.42,0.03,52.46
3,5030,0.04,5.03,725.91,0.05,27.2
4,901,0.05,4.3,995.71,0.03,27.73
5,926,0.05,5.06,1074.49,0.03,36.14
6,2977,0.05,3.97,681.97,0.04,36.79
7,2307,0.05,3.95,699.62,0.03,34.92
8,334,0.08,2.58,2141.27,0.02,31.65
9,973,0.08,3.33,2286.03,0.03,46.51
10,1025,0.04,2.77,669.67,0.03,30.23
11,2153,0.04,3.84,742.27,0.03,26.36
12,3132,0.03,3.87,623.05,0.03,47.45
13,1886,0.03,3.9,617.06,0.03,47.54
14,497,0.08,3.64,1963.35,0.04,33.23
15,597,0.06,0.57,735.45,11.27,40.01
16,1151,0.07,3.78,3945.67,9.63,34.54
17,330,0.06,2.91,1169.16,0.03,34.98
18,103,0.08,1.73,614.07,0.1,17.33
19,47,0.09,3.12,2286.7,0.02,27.75
20,583,0.06,3.19,716.71,0.01,47.7
