cell_type,Androgen,EGFR,Estrogen,Hypoxia,JAK-STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,WNT,p53
HSPC,0.1564845299794573,1.0036650475375637,0.26108707279426246,0.16778072197902855,1.2407042252529052,-1.5253647533324681,-1.6043759231165169,-2.3395000688717627,-1.6430591612198813,1.2278782844291214,0.4314572923285414,-0.7303577123514733,-0.5396952428160416,-6.6010502209426365
Granulocyte precursor,0.09607467852371489,1.9332847737997683,0.0006128460270960499,1.6091529152066524,0.66601302966044,-1.6223632652271636,-1.6989644467506366,-0.8013009439227375,-0.9250339359165173,1.8233519272055745,0.8214613384393165,-0.5852960399133772,-0.0669319778171723,-6.345041335646093
Monocyte classical,0.33285403458573926,2.128921815588507,-0.1751017983120338,2.5316946395399715,1.6050728790934385,-2.20105884282427,-0.8380653808648404,-1.4063107112508009,-0.3330758422322121,2.6006814370394102,0.9754226221960609,-0.7710980242685102,0.2627612403988774,-5.234680008397551
Monocyte non-classical,0.3430744531339601,2.343519747730476,-0.2238262243443509,2.398945469003984,2.9480800711002964,-2.4430190103425335,-0.620580104204143,-1.939243038685643,-0.566092524422419,2.5349135519664823,0.5660956723868211,-0.854505571978429,0.31650285643487125,-4.847674487320299
Dendritic cell,0.3445095778132092,2.382243790705618,-0.2532705431956288,1.6708069063880313,2.283589430237137,-2.089429255977513,-1.9017763991901444,-1.315403648163859,-1.0036832520789922,2.5104538177778832,0.49928735935877394,-0.7108242886363659,0.5149318711805373,-5.556047782102075
Plasmacytoid DC,0.35005888073470914,1.632364412583939,-0.403676486401278,0.6823862274259659,1.7171100908948016,-2.482724760844719,-1.787531035236985,-1.6234468751454192,-0.9917791792247778,1.8865673138711085,0.9343257662415915,-0.6461632719212466,0.24080945295117004,-4.843815329385841
Erythroid early,0.32743052457219507,1.0921686715633674,0.6525168450665327,-3.1407716867406292,-0.7258679016753266,0.07288545772921222,-1.6609358327813664,-1.2423416897806872,-2.037002445652038,0.4711026050314402,-1.284268853968084,-0.17038177693834855,-0.8067983969636595,-8.057560977922073
Erythroid late,-0.18715568825622628,1.4793908086641996,0.405267269954234,-1.6497187438479464,-0.6967379710246874,-0.6153194297712659,-0.8672787863746881,-0.9240284334097808,-1.3482651994171801,0.21438539695448747,-0.0005525038639899154,-0.40597341435797907,-0.4874360212191335,-2.0678850983455592
Platelet,-0.6653678544710119,2.7592062247596756,0.028642550753823364,0.7555850030732415,0.643471085556971,-3.387380931580023,-1.433413657968241,-0.8269813426454193,-0.9803777233479264,1.7946789430226189,0.0036236263733297617,-0.3872086301472956,0.0868482078769244,-2.75752538024272
Pre-B large,0.004989481385810297,1.2678827915168522,-0.13556054425661,0.004355547959836198,1.1089907321614147,-0.8389498558289437,-1.8553001909701654,-1.0517986061724218,-1.4322220950411542,1.3096130130321184,0.77014142977387,-2.078354923258558,-0.5124253292724344,-7.164045249660828
Pre-B small,-0.147568336151277,0.6884500536525269,-0.352664620770141,0.8174841095713882,1.4274512182375017,-2.041780508710747,-0.9818361923542218,-2.103227675383625,-0.8239012615779091,1.0195005590150055,1.4602825579478298,-1.8389783878910175,0.023887416870489668,-5.080897119861285
B naive,-0.020510358351586922,0.7402148504258593,-0.4494213921134092,1.1127276005618445,1.2408199522565364,-1.3858915606026438,-0.7624160792284121,-2.0881588535023985,-0.7528718567446698,1.320135456753449,1.9112115715230054,-0.8934756985238378,-0.035735113554163235,-5.829385867596176
CD4 T naive,-0.26943395758609434,0.6919775838377543,-0.2250565225606759,1.135580163063948,0.9304272119942518,-1.5473059650718464,-0.9804880342789402,-2.2419259264443,-0.6349790315574562,1.6089865946944961,0.8565845058221377,-0.44332748992792326,-0.04003633490668674,-5.34915080338367
CD4 T memory,0.013324872260641146,1.2514722932326277,-0.26640217059081023,1.6997045788713951,1.4539562459900874,-1.9102593511883668,-1.2612140055338563,-1.8313791030762958,-0.652897744288088,2.5949026739859162,0.7663190288304943,-0.4121228915716411,0.12188864836172085,-5.294441258655878
T activated,0.21940986264103338,0.6507669970001261,0.14470847252716962,1.7577182220296053,0.6918794803263716,-0.5534542713979103,0.13778893248672042,-1.8274127391267008,-0.45794827737589455,1.2243269896698348,0.4192564123557605,-0.3476209041932632,-0.214591240898622,-5.283131575682493
CD8 T memory,0.022244575920557418,1.2373869860541675,-0.3292943783905379,1.5953028193630274,1.2049105290082136,-1.3824596807395009,-0.1350831250291658,-1.3365513894510608,-0.4077505321888213,1.8078901815380009,0.9728669987374134,-0.4155942287500879,-0.03141966610653793,-5.51787615829336
CD8 T cytotoxic,-0.14034474219072776,1.2055206989038194,-0.3706238042070523,1.4339310354951014,1.5180006278678424,-1.5991002400990506,-0.8101528762853645,-1.5318039603483034,-0.7160214101330438,2.0092959587643557,0.8948744348819295,-0.12416346817415394,0.09898645047925053,-5.428109402660469
NK,-0.08833293170461894,1.4631833146211097,-0.5048250895643875,1.117329418876202,2.2475262665123577,-2.1313013762140924,-0.7818780339679944,-1.6116357339888823,-0.5479681137185917,1.7968506948121232,1.1390441208793245,0.012720477404018396,0.13963441768533,-5.110366409393646
T proliferating,0.15243193081300394,1.6830285323264933,-0.21535466413359977,0.2893703872422559,3.0950407666917648,-0.907343038046567,-1.5732497979181423,-0.4218230861644755,-1.758328488703553,2.64956389635062,0.36384975973638417,-0.1926014034776775,-0.15581285408904047,-6.370949527010399
