cell_type,gene,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
B naive,CD74,108.26778,5.098616,0.0,0.0,0.9992028696691909,0.505926014605531
B naive,HLA-DRA,100.11241,5.065318,0.0,0.0,0.9928258270227183,0.30542918711840056
B naive,CD79A,98.01908,6.5647407,0.0,0.0,0.883419689119171,0.052256674248772894
B naive,IGHM,94.64428,6.7956476,0.0,0.0,0.8696691909127142,0.07545193343708848
B naive,CD37,91.801384,3.059922,0.0,0.0,0.9390195296931049,0.5372919909014725
B naive,HLA-DPB1,91.40665,4.031545,0.0,0.0,0.9262654444001595,0.29695917634382857
B naive,HLA-DRB1,90.97648,4.2424746,0.0,0.0,0.9220805101634117,0.2695738058182689
B naive,HLA-DPA1,90.028,4.1663265,0.0,0.0,0.899561578318055,0.24356518616066083
B naive,HLA-DQB1,85.5173,4.382194,0.0,0.0,0.8389796731765644,0.1648808811205555
B naive,MS4A1,78.3952,7.523657,0.0,0.0,0.693503387803906,0.012001676044534898
B naive,IGKC,72.4152,4.986376,0.0,0.0,0.7196094061379036,0.2217167484736023
B naive,IGHD,71.36664,6.8575253,0.0,0.0,0.6361100039856517,0.0202621812522447
B naive,HLA-DQA1,69.13925,4.683159,0.0,0.0,0.6544440015942606,0.07156111576679038
B naive,CD52,65.411095,1.9353552,0.0,0.0,0.9473893981666003,0.7092062731952592
B naive,LAPTM5,62.94391,1.8300122,0.0,0.0,0.8762455161418892,0.6386627558960852
B naive,CD79B,61.70111,3.9472537,0.0,0.0,0.618772419290554,0.08164731234287083
B naive,TSC22D3,54.009594,1.8160932,0.0,0.0,0.8449581506576325,0.5752124985035316
B naive,LTB,53.866238,2.1711247,0.0,0.0,0.8214428058987644,0.43355680593798634
B naive,LINC00926,51.592335,7.9502997,0.0,0.0,0.454563571143882,0.004938345504609122
B naive,HLA-DMA,51.50866,2.7846837,0.0,0.0,0.5924671183738541,0.17945648270082606
B naive,CXCR4,47.23944,1.6163431,0.0,0.0,0.8264248704663213,0.5811385131090626
B naive,MEF2C,46.251312,3.4848943,0.0,0.0,0.4774810681546433,0.09942535615946367
B naive,HLA-DMB,46.097485,3.3628945,0.0,0.0,0.47489039457951376,0.08933915958338322
B naive,BTG1,45.58495,1.2249188,0.0,0.0,0.9380231167795935,0.80659643241949
B naive,TNFRSF13C,44.79006,6.410244,0.0,0.0,0.39936229573535276,0.009966479109302047
B naive,TCL1A,44.37944,4.1866827,0.0,0.0,0.42606616181745716,0.03199449299652819
B naive,BIRC3,43.967808,3.0037305,0.0,0.0,0.47249900358708646,0.11507841494073985
B naive,IGLC2,42.482506,4.1908417,0.0,0.0,0.4326424870466321,0.08628636418053394
B naive,BANK1,41.91985,6.1561017,0.0,0.0,0.37664408130729377,0.013917155512989346
B naive,CD83,40.13352,3.9679654,0.0,0.0,0.39218812275807097,0.05294504968274871
B naive,VPREB3,37.460724,3.4167697,4.018506213036933e-307,1.5709268134348995e-304,0.3736548425667597,0.038818388602897165
B naive,JCHAIN,37.156536,4.011268,3.4384498596886357e-302,1.2943853471805663e-299,0.3571143882024711,0.03274272716389321
B naive,FCER2,36.659412,7.108049,3.2397247663493176e-294,1.1974022736427078e-291,0.32423276205659624,0.004609122470968514
B naive,RALGPS2,32.956547,5.005925,3.4087285128830365e-238,1.0498883819679751e-235,0.30589876444798725,0.021878367053753144
B naive,NOP53,32.624275,0.85125893,1.856863007001686e-233,5.633777791989593e-231,0.8638899960143483,0.7385969112893571
B naive,ADAM28,31.947857,5.35483,5.785872650579084e-224,1.7045683947966902e-221,0.29254683140693505,0.01738896204956303
B naive,NCF1,31.863482,1.945328,8.563604483711241e-223,2.4868707420697444e-220,0.4292546831406935,0.16829282892373998
B naive,PLPP5,30.65915,3.9976032,1.995720965920426e-206,5.2687033500299244e-204,0.3021123953766441,0.043457440440560276
B naive,MARCH1,30.167984,3.8806407,6.232021839900843e-200,1.6036017716646118e-197,0.2913511359107214,0.03133604692924698
B naive,HVCN1,28.716604,4.4609175,2.3672598611014722e-181,5.661371583114203e-179,0.26962933439617376,0.022057943253920746
B naive,EZR,28.632072,1.777815,2.6805235244523393e-180,6.336009558728739e-178,0.42188122758070945,0.21486292350053873
B naive,IGLC3,28.47574,4.0709834,2.3400830928829403e-178,5.344854956418473e-176,0.2801913112793942,0.0363043218005507
B naive,TCOF1,27.92456,2.477336,1.343037419150351e-171,2.904389857073227e-169,0.3375846950976485,0.11373159343948282
B naive,P2RX5,27.921787,4.2092633,1.4513354481387986e-171,3.1055523147121574e-169,0.2666400956556397,0.025140668023464624
B naive,CD22,27.165268,4.988504,1.6716406751601537e-162,3.205765249495812e-160,0.24970107612594658,0.01409673171315695
B naive,ARHGAP24,26.86933,5.2534304,5.015015988530381e-159,9.267749546804144e-157,0.2433240334794739,0.009038668741769423
B naive,IRF8,26.793497,2.8953009,3.847314403269137e-158,7.045784431500451e-156,0.28517337584695096,0.05489045851789776
B naive,TXNIP,26.659857,0.90344226,1.3756660264182363e-156,2.474737963276983e-154,0.7168194499800717,0.6073566383335328
B naive,BCL11A,25.395824,2.8454826,2.8044041934741734e-142,4.711399045036612e-140,0.28935831008369867,0.08149766550939783
B naive,ISG20,24.889235,1.3458705,9.731167082749151e-137,1.5334508872722848e-134,0.43543244320446395,0.2499700706333054
B naive,RCSD1,24.330572,1.6148716,9.30968001473301e-131,1.4122923532797956e-128,0.36608210442407335,0.17314138632826528
B naive,CIRBP,24.110994,0.61299556,1.9168335323219583e-128,2.8651023562529975e-126,0.8027102431247509,0.7250089788100084
B naive,EEF1B2,23.931614,0.62401116,1.4360611653320232e-126,2.0851608120620977e-124,0.9023515344758868,0.8117143541242667
B naive,PTMA,23.923834,0.29877597,1.730489184119068e-126,2.494849938636342e-124,0.9954165005978477,0.9869507961211541
B naive,EEF2,23.91476,0.5790412,2.1507599807661706e-126,3.078918935846107e-124,0.824830609804703,0.7484436729318807
B naive,FAM129C,22.724932,3.3814692,2.5401888530383697e-114,3.3749646408211755e-112,0.2255878836189717,0.02705614749191907
B naive,BLK,22.715694,4.797668,3.1346700785321074e-114,4.1377645036623817e-112,0.2086488640892786,0.010684783909972465
B naive,FCRLA,22.488865,4.301117,5.3346838439392775e-112,6.777715823724852e-110,0.20964527700278995,0.012989345145456722
B naive,LY86,22.199646,2.1553123,3.4616067787090265e-109,4.3170271532268156e-107,0.27182144280589876,0.08404166167843888
B naive,ARPC3,21.838797,0.6687104,9.93356993909222e-106,1.19484976166785e-103,0.6759665205261061,0.5793427511073865
B naive,LIMD2,21.763708,0.81583977,5.123247482612498e-105,6.126198519208639e-103,0.584296532483061,0.47267448820782954
B naive,SNX3,21.509699,0.9001086,1.2631988170001034e-102,1.4507517261004577e-100,0.502192108409725,0.37719980845205314
B naive,EEF1A1,21.33825,0.320452,5.013660373621068e-101,5.630811495854644e-99,0.9990035870864886,0.9922183646594038
B naive,IL4R,20.98946,2.7767322,8.187026044069609e-98,8.995992725613352e-96,0.22857712235950578,0.05186759248174309
B naive,HLA-DRB5,20.831509,1.870573,2.242846567525757e-96,2.4381061510515285e-94,0.2865683539258669,0.11403088710642882
B naive,HERPUD1,20.821758,1.3409001,2.7491340963416123e-96,2.972574356937888e-94,0.37724192905540055,0.22429067400933797
B naive,SNX2,20.43709,1.8139207,7.826801540427028e-93,8.243690244238375e-91,0.3019131127939418,0.14764156590446545
B naive,GNG7,19.886564,3.173267,5.319809270448728e-88,5.301033473023615e-86,0.2070546034276604,0.03666347420088591
B naive,NFKBID,19.822256,3.2335768,1.9133627133981324e-87,1.869944097978713e-85,0.20426464726982863,0.03417933676523405
B naive,TPD52,19.705404,2.4320753,1.9378716603618645e-86,1.8848351728151187e-84,0.23595057791948984,0.07230934993415539
B naive,HLA-DOB,19.552822,6.2158613,3.903241175651386e-85,3.7426927650302534e-83,0.17437225986448784,0.0038010295702142942
B naive,CYB561A3,19.54124,2.5620346,4.897700077754819e-85,4.6741993981502326e-83,0.23355918692706257,0.0722494912007662
B naive,CD40,19.198875,4.768937,3.78190776781002e-82,3.47867063819195e-80,0.178158628935831,0.011462947444032085
B naive,PNISR,18.969639,0.68606246,3.0398836592045092e-80,2.7102962729960203e-78,0.5779194898365883,0.49042260265772775
B naive,REL,18.682657,1.4436628,6.852251389943961e-78,5.978221727672997e-76,0.31725787166201674,0.17559559439722255
B naive,EVI2B,18.205717,0.8837837,4.649291268423392e-74,3.8575833838575795e-72,0.4453965723395775,0.32395546510235845
B naive,CD24,18.113571,2.588743,2.4905290418908372e-73,2.049695318362629e-71,0.19131127939418094,0.03064767149527116
B naive,FAM30A,18.024609,2.9865525,1.248933110282164e-72,1.0196109343701137e-70,0.19689119170984457,0.044205674607925294
B naive,POU2F2,17.681273,2.3111203,5.846215387293797e-70,4.58848904991924e-68,0.20944599442008768,0.05997845085597989
B naive,DRAM2,17.587309,1.6215336,3.081707995940997e-69,2.3819376479653454e-67,0.27461139896373055,0.13905183766311505
B naive,SPIB,17.050997,3.2434778,3.436280175173511e-65,2.503681125481259e-63,0.1711837385412515,0.022476954387645156
B naive,FCRL1,17.026384,5.9889193,5.233975860785706e-65,3.772917067306803e-63,0.15165404543642885,0.002783431102597869
B naive,PDLIM1,16.982826,2.4286501,1.100572049152134e-64,7.768204380265479e-63,0.20346751693901952,0.060187956422842095
B naive,ORAI2,16.973215,2.2577243,1.2963809277471016e-64,9.118626816347087e-63,0.2100438421681945,0.0684185322638573
B naive,LINC01781,16.898455,5.6069307,4.618533385063969e-64,3.2374326431579437e-62,0.15145476285372658,0.0037711002035196936
B naive,FCMR,16.606562,1.8070539,6.247299460626802e-62,4.20513587535171e-60,0.22100438421681945,0.08122830120914641
B naive,TSPAN13,16.518372,2.9246824,2.7060410558143915e-61,1.7976602151174822e-59,0.19350338780390594,0.057524242787022624
B naive,RNASET2,15.98748,0.80889577,1.5622229693137604e-57,9.71158058722022e-56,0.42168194499800715,0.31578474799473244
B naive,SMIM14,15.792899,2.3459141,3.4820038129470314e-56,2.1384342450026362e-54,0.18612993224392188,0.05210702741529989
B naive,TMEM156,15.474407,2.9027803,5.1646785497437416e-54,3.0969789250498754e-52,0.1667995217218015,0.03417933676523405
B naive,KLF2,15.097058,0.7532843,1.693208222881023e-51,9.806135827557105e-50,0.4368274212833798,0.3385011373159344
B naive,CD19,14.984573,3.959881,9.261774905117899e-51,5.25903240981108e-49,0.14248704663212436,0.011762241110978091
B naive,TSTD1,14.979096,0.9438132,1.0057578994769404e-50,5.694999047511767e-49,0.3614986050219211,0.26843648988387403
B naive,AFF3,14.744401,2.9970105,3.3427193629699385e-49,1.831557930200887e-47,0.15583897967317656,0.028702262660122112
B naive,PNOC,14.672388,5.571808,9.687486072138607e-49,5.265433606268277e-47,0.13192506974890394,0.003830958936908895
B naive,LINC02397,14.607263,5.888517,2.5246071451587408e-48,1.3648993097549701e-46,0.13033080908728578,0.002663713635819466
B naive,PRDM2,14.525143,1.6244348,8.396700754861933e-48,4.445003462105036e-46,0.22120366679952172,0.10289716269603735
B naive,LINC01857,14.507903,8.511983,1.0797037462200222e-47,5.700835780041717e-46,0.1273415703467517,0.0005686579671974141
B naive,STX7,14.49635,2.212662,1.277641170674384e-47,6.728468838722507e-46,0.19290554005579913,0.07428468813599905
B naive,CD72,14.320799,3.3832664,1.6224777147550206e-46,8.435224292976997e-45,0.1422877640494221,0.017658326349814436
B naive,SWAP70,14.260805,3.406085,3.839993150955911e-46,1.986243785563149e-44,0.14726982861697888,0.024871303723213216
B naive,SYNGR2,14.08661,1.5256987,4.590748780268941e-45,2.270577644897981e-43,0.23674770825029892,0.1291452172872022
B naive,SEL1L3,14.081463,2.902894,4.937721763814746e-45,2.4362623304569456e-43,0.1492626544440016,0.027684664192505686
B naive,FOXP1,13.893702,0.8006466,6.916601546292472e-44,3.2927558836775964e-42,0.4029493822239936,0.3259308033042021
B naive,SMCHD1,13.873103,0.9915972,9.219969987579041e-44,4.379054904380999e-42,0.32762056596253486,0.23455644678558601
B naive,SYPL1,13.72283,1.3367841,7.411490120332308e-43,3.4555222744521827e-41,0.2560781187724193,0.1568897402130971
B naive,ZFAS1,13.405949,0.43337303,5.580533942432541e-41,2.4661107387341018e-39,0.609206855320845,0.5643780677600861
B naive,IFT57,13.225704,2.15826,6.23508199786035e-40,2.668352565315899e-38,0.17656436827421285,0.06793966239674369
B naive,ANAPC16,13.150584,0.57886064,1.6886528963870425e-39,7.151445016199125e-38,0.4834595456357114,0.43472405123907576
B naive,HHEX,13.111259,2.1969638,2.8384396764879924e-39,1.1896866338896476e-37,0.17018732562774014,0.06165449539087753
B naive,POU2AF1,13.034034,3.4789407,7.835290759873955e-39,3.2505263380962807e-37,0.12813870067756078,0.014575601580270561
B naive,PHACTR1,13.004208,1.8271743,1.1579299119534244e-38,4.77452317448057e-37,0.17995217218015144,0.07120196336645516
B naive,SP110,12.939546,1.2170238,2.692159514778333e-38,1.094524372328279e-36,0.2502989238740534,0.15099365497426073
B naive,SP100,12.936982,1.171975,2.7835204371189924e-38,1.129409250414269e-36,0.2688322040653647,0.176762839698312
B naive,CHCHD10,12.841101,0.95778483,9.649260799083795e-38,3.8087412334713666e-36,0.3060980470306895,0.21929246977133965
B naive,RRAS2,12.567348,2.7685997,3.192547707967636e-36,1.2198892820971072e-34,0.1351135910721403,0.026277983957859453
B naive,LYN,12.343197,1.2165831,5.300873120294304e-35,1.9735558386326485e-33,0.22997210043842167,0.1286962767867832
B naive,RUBCNL,12.322339,3.051117,6.867339020387042e-35,2.5427917596799235e-33,0.12714228776404943,0.01978331138513109
B naive,SF1,12.290184,0.5124177,1.0227305203986492e-34,3.7595056091616164e-33,0.4842566759665205,0.44172752304561236
B naive,CALHM6,12.193446,2.2198985,3.3686900063676344e-34,1.2250220116179119e-32,0.1500597847748107,0.04668981204357716
B naive,PMAIP1,12.020587,1.1997783,2.7699598932297215e-33,9.895912954230892e-32,0.2291749701076126,0.1321680833233569
B naive,PKIG,11.935902,2.7083054,7.692096321716602e-33,2.6866827152552424e-31,0.14966121960940615,0.05180773374835389
B naive,EAF2,11.922995,2.328382,8.982052011543492e-33,3.1158217285094898e-31,0.15404543642885613,0.05572848078534658
B naive,TMEM154,11.920293,2.0998285,9.278177956728173e-33,3.2075986650403112e-31,0.14547628537265844,0.04333772297378188
B naive,SNHG7,11.892021,0.84992063,1.3021643308283567e-32,4.478916500351749e-31,0.30888800318852133,0.22919909014725248
B naive,PRKCB,11.865253,1.065779,1.7935801073970502e-32,6.138029700869905e-31,0.24073335990434436,0.14608523883634622
B naive,SH3BP5,11.813155,1.5401053,3.3379474092907665e-32,1.1308965822677117e-30,0.17417297728178557,0.07485334610319645
B naive,NAP1L1,11.669177,0.32847744,1.831873137534949e-31,6.084692343106282e-30,0.6763650856915105,0.6345325032922303
B naive,GGA2,11.613752,1.9145906,3.508713014403787e-31,1.1560459700399868e-29,0.1681944998007174,0.0726984317011852
