cell_type,library,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
B naive,KEGG,Staphylococcus aureus infection,0.8607144268947842,1.9956922831194055,0.0,0.0,0.0,13/53,1.19%,HLA-DRA;HLA-DPB1;HLA-DRB1;HLA-DPA1;HLA-DQB1;HLA-DQA1;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;FCGR2B;HLA-DOA;HLA-DQA2
B naive,KEGG,Intestinal immune network for IgA production,0.9211784384085955,1.981030777307752,0.0,0.0,0.0,17/45,1.36%,HLA-DRA;HLA-DPB1;HLA-DRB1;HLA-DPA1;HLA-DQB1;HLA-DQA1;HLA-DMA;CXCR4;HLA-DMB;TNFRSF13C;HLA-DRB5;HLA-DOB;CD40;HLA-DOA;TNFRSF13B;HLA-DQA2;ICOSLG
B naive,KEGG,Systemic lupus erythematosus,0.8833866673500003,1.959251457376932,0.0,0.0,0.0,13/43,1.19%,HLA-DRA;HLA-DPB1;HLA-DRB1;HLA-DPA1;HLA-DQB1;HLA-DQA1;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;CD40;HLA-DOA;HLA-DQA2
B naive,KEGG,Leishmaniasis,0.7852331919444085,1.8908373625701016,0.0,0.00035952866951196883,0.001,20/71,1.46%,HLA-DRA;HLA-DPB1;HLA-DRB1;HLA-DPA1;HLA-DQB1;HLA-DQA1;HLA-DMA;HLA-DMB;NCF1;EEF1A1;HLA-DRB5;HLA-DOB;PRKCB;JUN;CYBA;HLA-DOA;PTPN6;HLA-DQA2;IFNGR2;MARCKSL1
B naive,KEGG,Inflammatory bowel disease,0.8431081634737285,1.887660551773716,0.0,0.0002876229356095751,0.001,15/59,1.22%,HLA-DRA;HLA-DPB1;HLA-DRB1;HLA-DPA1;HLA-DQB1;HLA-DQA1;HLA-DMA;HLA-DMB;IL4R;HLA-DRB5;HLA-DOB;JUN;HLA-DOA;HLA-DQA2;IFNGR2
B naive,KEGG,Toxoplasmosis,0.7301815655698134,1.8662927089215935,0.0,0.0007190573390239377,0.003,18/105,1.22%,HLA-DRA;HLA-DPB1;HLA-DRB1;HLA-DPA1;HLA-DQB1;HLA-DQA1;HLA-DMA;HLA-DMB;BIRC3;HLA-DRB5;HLA-DOB;CD40;CIITA;HLA-DOA;ALOX5;BCL2;HLA-DQA2;IFNGR2
B naive,KEGG,Asthma,0.9382192529521551,1.8427768403971039,0.0,0.0006163348620205181,0.003,13/25,1.19%,HLA-DRA;HLA-DPB1;HLA-DRB1;HLA-DPA1;HLA-DQB1;HLA-DQA1;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;CD40;HLA-DOA;HLA-DQA2
B naive,KEGG,Autoimmune thyroid disease,0.8564424618514576,1.820670311007172,0.0,0.0007190573390239377,0.004,13/35,1.19%,HLA-DRA;HLA-DPB1;HLA-DRB1;HLA-DPA1;HLA-DQB1;HLA-DQA1;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;CD40;HLA-DOA;HLA-DQA2
B naive,KEGG,Graft-versus-host disease,0.8296724041509033,1.809151574042343,0.0,0.0009587431186985835,0.006,12/38,1.19%,HLA-DRA;HLA-DPB1;HLA-DRB1;HLA-DPA1;HLA-DQB1;HLA-DQA1;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;HLA-DOA;HLA-DQA2
B naive,KEGG,Rheumatoid arthritis,0.7196685977940132,1.801733460745909,0.0,0.0011504917424383003,0.008,14/82,1.19%,HLA-DRA;HLA-DPB1;HLA-DRB1;HLA-DPA1;HLA-DQB1;HLA-DQA1;LTB;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;JUN;HLA-DOA;HLA-DQA2
