cell_type,library,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
B naive,GO_BP,B Cell Receptor Signaling Pathway (GO:0050853),0.8665087302878085,1.9193446576101274,0.0,0.0011467623694803356,0.001,26/44,2.84%,CD79A;IGHM;MS4A1;IGKC;IGHD;CD79B;MEF2C;IGLC3;BLK;CD19;PRKCB;BLNK;IGHA1;LAT2;IGHG3;IGHG1;BCL2;BTK;IGHA2;IGHG2;PLCG2;SYK;SH2B2;PLEKHA1;VAV3;IGHE
B naive,GO_BP,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),0.9330993746923449,1.8253482499822786,0.0,0.042430207670772414,0.063,11/16,1.19%,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;HLA-DOA;TAPBP;HLA-DQA2
B naive,GO_BP,Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response (GO:0061081),0.8940146910188519,1.7941450271504475,0.009345794392523364,0.06995250453830047,0.15,4/15,2.08%,CD74;LAPTM5;PLCG2;LILRB1
B naive,GO_BP,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),0.9589921110150225,1.7821628895611183,0.0,0.06679890802222956,0.184,11/17,1.19%,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;GAPT;HLA-DOA;HLA-DQA2
B naive,GO_BP,B Cell Activation (GO:0042113),0.7266539280180797,1.7670553484614069,0.0,0.07522761143791001,0.239,24/73,2.96%,CD79A;MS4A1;CD79B;MEF2C;BANK1;CD22;FCRLA;TPD52;CD40;HHEX;PRKCB;PAX5;KLF6;BLNK;LAT2;BCL2;BTK;HDAC9;PLCG2;FNIP1;LYL1;HDAC5;CR2;CD70
B naive,GO_BP,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),0.8552448591492489,1.7533206123276717,0.0,0.06847809577754004,0.293,11/24,1.19%,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;FCGR2B;HLA-DOA;HLA-DQA2
B naive,GO_BP,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),0.8552448591492489,1.7533206123276717,0.0,0.06847809577754004,0.293,11/24,1.19%,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;FCGR2B;HLA-DOA;HLA-DQA2
B naive,GO_BP,Immunoglobulin Mediated Immune Response (GO:0016064),0.906050854808786,1.7366262959952796,0.0,0.081993509417844,0.36,14/28,1.19%,CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;CD19;GAPT;FCGR2B;HLA-DOA;HLA-DQA2
B naive,GO_BP,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),0.8025898310030597,1.7091103915101251,0.0,0.11760685189226108,0.511,11/29,1.19%,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;FCGR2B;HLA-DOA;HLA-DQA2
B naive,GO_BP,Proton Motive Force-Driven ATP Synthesis (GO:0015986),-0.9114272718796969,-1.6887622782570355,0.0,0.0,0.0,52/57,7.07%,NDUFS5;ATP5MG;ATP5F1E;ATP5ME;NDUFB1;NDUFB7;ATP5MF;NDUFB2;NDUFS6;ATP5F1C;ATP5PD;ATP5MC2;NDUFA11;NDUFA1;ATP5MC3;NDUFA3;NDUFB9;NDUFC2;NDUFA12;NDUFA13;NDUFA2;ATP5PB;ATP5PF;NDUFB10;NDUFS8;NDUFB11;ATP5F1B;ATP5F1D;NDUFB4;NDUFA6;NDUFB8;NDUFB6;NDUFAB1;NDUFV2;NDUFB3;NDUFS7;NDUFC1;NDUFB5;NDUFS4;NDUFS3;SDHD;NDUFA8;SDHA;ATP5MC1;NDUFV1;SDHC;NDUFV3;NDUFA10;NDUFA9;SDHB;ATP5PO;NDUFS2
B naive,GO_BP,Skeletal Muscle Contraction (GO:0003009),0.8365752002464961,1.675660708545868,0.021505376344086023,0.17304644155458265,0.688,1/15,0.25%,RCSD1
B naive,GO_BP,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),-0.9118028404590234,-1.6741098041710103,0.0,0.0,0.0,49/52,7.07%,NDUFS5;ATP5MG;ATP5F1E;ATP5ME;NDUFB1;NDUFB7;ATP5MF;NDUFB2;NDUFS6;ATP5F1C;ATP5PD;NDUFA11;NDUFA1;NDUFA3;NDUFB9;NDUFC2;NDUFA12;NDUFA13;NDUFA2;ATP5PB;ATP5PF;NDUFB10;NDUFS8;NDUFB11;ATP5F1B;ATP5F1D;NDUFB4;NDUFA6;NDUFB8;NDUFB6;NDUFAB1;NDUFV2;NDUFB3;NDUFS7;NDUFC1;NDUFB5;NDUFS4;NDUFS3;SDHD;NDUFA8;SDHA;NDUFV1;SDHC;NDUFV3;NDUFA10;NDUFA9;SDHB;ATP5PO;NDUFS2
B naive,GO_BP,Positive Regulation Of Lymphocyte Activation (GO:0051251),0.7552260378446698,1.66962847652657,0.0,0.17243135992004321,0.718,10/42,1.19%,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;HLA-DOA;HLA-DQA2
B naive,GO_BP,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.886669068790377,-1.6653682351102195,0.0,0.0,0.0,57/66,8.52%,NDUFS5;UQCRB;UQCR11;UQCRQ;COX7B;COX8A;NDUFA4;COX6B1;NDUFB1;COX6C;NDUFB7;UQCR10;NDUFB2;NDUFS6;COX5B;NDUFA1;COX5A;NDUFA3;NDUFB9;NDUFC2;NDUFA12;COX7A2;NDUFA2;NDUFB10;NDUFS8;UQCRFS1;NDUFB4;NDUFA6;COX6A1;NDUFB8;NDUFB6;NDUFAB1;UQCRC1;NDUFV2;UQCRC2;NDUFB3;NDUFS7;NDUFC1;NDUFB5;CYCS;NDUFS4;CYC1;NDUFS3;SDHD;NDUFA8;SDHA;NDUFV1;SDHC;NDUFV3;NDUFA10;NDUFA9;SDHB;UQCC3;NDUFS2;SDHAF2;COX7C;NDUFA5
B naive,GO_BP,Aerobic Electron Transport Chain (GO:0019646),-0.8897432223609638,-1.662574125171818,0.0,0.0,0.0,56/65,8.52%,NDUFS5;UQCRB;UQCR11;UQCRQ;COX7B;COX8A;NDUFA4;COX6B1;NDUFB1;COX6C;NDUFB7;UQCR10;NDUFB2;NDUFS6;COX5B;NDUFA1;COX5A;NDUFA3;NDUFB9;NDUFC2;COX7A2;NDUFA2;NDUFB10;NDUFS8;UQCRFS1;NDUFB4;NDUFA6;COX6A1;NDUFB8;NDUFB6;NDUFAB1;UQCRC1;NDUFV2;UQCRC2;NDUFB3;NDUFS7;NDUFC1;NDUFB5;CYCS;NDUFS4;CYC1;NDUFS3;SDHD;NDUFA8;SDHA;NDUFV1;SDHC;NDUFV3;NDUFA10;NDUFA9;SDHB;UQCC3;NDUFS2;SDHAF2;COX7C;NDUFA5
B naive,GO_BP,B Cell Proliferation (GO:0042100),0.8427782162524363,1.658778227313157,0.019230769230769232,0.18300416146290355,0.766,7/15,1.62%,CD79A;MS4A1;MEF2C;CD40;CD19;GAPT;CD180
B naive,GO_BP,Oxidative Phosphorylation (GO:0006119),-0.8883692055428591,-1.6562442341136665,0.0,0.0,0.0,53/60,7.07%,NDUFS5;UQCRB;ATP5MG;ATP5F1E;ATP5ME;NDUFB1;NDUFB7;ATP5MF;NDUFB2;NDUFS6;ATP5F1C;ATP5PD;NDUFA11;NDUFA1;NDUFA3;NDUFB9;NDUFC2;NDUFA12;NDUFA13;NDUFA2;ATP5PB;ATP5PF;NDUFB10;NDUFS8;NDUFB11;ATP5F1B;ATP5F1D;NDUFB4;NDUFA6;NDUFB8;NDUFB6;NDUFAB1;UQCRC1;NDUFV2;UQCRC2;NDUFB3;NDUFS7;NDUFC1;NDUFB5;NDUFS4;NDUFS3;SDHD;NDUFA8;SDHA;NDUFV1;SDHC;NDUFV3;NDUFA10;NDUFA9;NIPSNAP2;SDHB;ATP5PO;NDUFS2
B naive,GO_BP,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),0.7538849413084833,1.6522034379151456,0.0,0.18198236678753327,0.788,10/41,1.19%,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;HLA-DOA;HLA-DQA2
