cell_type,library,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
B naive,GO_BP,Proton Motive Force-Driven ATP Synthesis (GO:0015986),-0.9114272718796969,-1.6887622782570355,0.0,0.0,0.0,52/57,7.07%,NDUFS5;ATP5MG;ATP5F1E;ATP5ME;NDUFB1;NDUFB7;ATP5MF;NDUFB2;NDUFS6;ATP5F1C;ATP5PD;ATP5MC2;NDUFA11;NDUFA1;ATP5MC3;NDUFA3;NDUFB9;NDUFC2;NDUFA12;NDUFA13;NDUFA2;ATP5PB;ATP5PF;NDUFB10;NDUFS8;NDUFB11;ATP5F1B;ATP5F1D;NDUFB4;NDUFA6;NDUFB8;NDUFB6;NDUFAB1;NDUFV2;NDUFB3;NDUFS7;NDUFC1;NDUFB5;NDUFS4;NDUFS3;SDHD;NDUFA8;SDHA;ATP5MC1;NDUFV1;SDHC;NDUFV3;NDUFA10;NDUFA9;SDHB;ATP5PO;NDUFS2
B naive,GO_BP,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),-0.9118028404590234,-1.6741098041710103,0.0,0.0,0.0,49/52,7.07%,NDUFS5;ATP5MG;ATP5F1E;ATP5ME;NDUFB1;NDUFB7;ATP5MF;NDUFB2;NDUFS6;ATP5F1C;ATP5PD;NDUFA11;NDUFA1;NDUFA3;NDUFB9;NDUFC2;NDUFA12;NDUFA13;NDUFA2;ATP5PB;ATP5PF;NDUFB10;NDUFS8;NDUFB11;ATP5F1B;ATP5F1D;NDUFB4;NDUFA6;NDUFB8;NDUFB6;NDUFAB1;NDUFV2;NDUFB3;NDUFS7;NDUFC1;NDUFB5;NDUFS4;NDUFS3;SDHD;NDUFA8;SDHA;NDUFV1;SDHC;NDUFV3;NDUFA10;NDUFA9;SDHB;ATP5PO;NDUFS2
B naive,GO_BP,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.886669068790377,-1.6653682351102195,0.0,0.0,0.0,57/66,8.52%,NDUFS5;UQCRB;UQCR11;UQCRQ;COX7B;COX8A;NDUFA4;COX6B1;NDUFB1;COX6C;NDUFB7;UQCR10;NDUFB2;NDUFS6;COX5B;NDUFA1;COX5A;NDUFA3;NDUFB9;NDUFC2;NDUFA12;COX7A2;NDUFA2;NDUFB10;NDUFS8;UQCRFS1;NDUFB4;NDUFA6;COX6A1;NDUFB8;NDUFB6;NDUFAB1;UQCRC1;NDUFV2;UQCRC2;NDUFB3;NDUFS7;NDUFC1;NDUFB5;CYCS;NDUFS4;CYC1;NDUFS3;SDHD;NDUFA8;SDHA;NDUFV1;SDHC;NDUFV3;NDUFA10;NDUFA9;SDHB;UQCC3;NDUFS2;SDHAF2;COX7C;NDUFA5
B naive,GO_BP,Aerobic Electron Transport Chain (GO:0019646),-0.8897432223609638,-1.662574125171818,0.0,0.0,0.0,56/65,8.52%,NDUFS5;UQCRB;UQCR11;UQCRQ;COX7B;COX8A;NDUFA4;COX6B1;NDUFB1;COX6C;NDUFB7;UQCR10;NDUFB2;NDUFS6;COX5B;NDUFA1;COX5A;NDUFA3;NDUFB9;NDUFC2;COX7A2;NDUFA2;NDUFB10;NDUFS8;UQCRFS1;NDUFB4;NDUFA6;COX6A1;NDUFB8;NDUFB6;NDUFAB1;UQCRC1;NDUFV2;UQCRC2;NDUFB3;NDUFS7;NDUFC1;NDUFB5;CYCS;NDUFS4;CYC1;NDUFS3;SDHD;NDUFA8;SDHA;NDUFV1;SDHC;NDUFV3;NDUFA10;NDUFA9;SDHB;UQCC3;NDUFS2;SDHAF2;COX7C;NDUFA5
B naive,GO_BP,Oxidative Phosphorylation (GO:0006119),-0.8883692055428591,-1.6562442341136665,0.0,0.0,0.0,53/60,7.07%,NDUFS5;UQCRB;ATP5MG;ATP5F1E;ATP5ME;NDUFB1;NDUFB7;ATP5MF;NDUFB2;NDUFS6;ATP5F1C;ATP5PD;NDUFA11;NDUFA1;NDUFA3;NDUFB9;NDUFC2;NDUFA12;NDUFA13;NDUFA2;ATP5PB;ATP5PF;NDUFB10;NDUFS8;NDUFB11;ATP5F1B;ATP5F1D;NDUFB4;NDUFA6;NDUFB8;NDUFB6;NDUFAB1;UQCRC1;NDUFV2;UQCRC2;NDUFB3;NDUFS7;NDUFC1;NDUFB5;NDUFS4;NDUFS3;SDHD;NDUFA8;SDHA;NDUFV1;SDHC;NDUFV3;NDUFA10;NDUFA9;NIPSNAP2;SDHB;ATP5PO;NDUFS2
B naive,GO_BP,Cellular Respiration (GO:0045333),-0.860120194749574,-1.6458698916108696,0.0,0.0,0.0,59/83,7.07%,NDUFS5;UQCRB;UQCR11;UQCRQ;COX7B;COX8A;NDUFA4;COX6B1;NDUFB1;COX6C;NDUFB7;UQCR10;NDUFB2;NDUFS6;COX5B;NDUFA11;NDUFA1;COX5A;NDUFA3;NDUFB9;NDUFC2;NDUFA12;NDUFA13;COX7A2;NDUFA2;NDUFB10;NDUFS8;UQCRFS1;NDUFB11;NDUFB4;NDUFA6;COX6A1;NDUFB8;NDUFB6;NDUFAB1;UQCRC1;NDUFV2;UQCRC2;NDUFB3;MDH2;NDUFS7;NDUFC1;NDUFB5;CYCS;NDUFS4;CHCHD5;CYC1;NDUFS3;ETFA;NDUFA8;SDHA;NDUFV1;SDHC;NDUFV3;NDUFA10;NDUFA9;ETFB;SDHB;NDUFS2
B naive,GO_BP,B Cell Receptor Signaling Pathway (GO:0050853),0.8665087302878085,1.9193446576101274,0.0,0.0011467623694803356,0.001,26/44,2.84%,CD79A;IGHM;MS4A1;IGKC;IGHD;CD79B;MEF2C;IGLC3;BLK;CD19;PRKCB;BLNK;IGHA1;LAT2;IGHG3;IGHG1;BCL2;BTK;IGHA2;IGHG2;PLCG2;SYK;SH2B2;PLEKHA1;VAV3;IGHE
B naive,GO_BP,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",-0.8915938989259651,-1.5787552190842677,0.0,0.0016896269890999168,0.011,30/34,7.07%,NDUFS5;NDUFA4;NDUFB1;NDUFB7;NDUFB2;NDUFS6;NDUFA3;NDUFB9;NDUFC2;NDUFA2;NDUFB10;NDUFS8;NDUFB4;NDUFA6;NDUFB8;NDUFB6;NDUFAB1;NDUFV2;NDUFB3;NDUFS7;NDUFC1;NDUFB5;NDUFS4;NDUFS3;NDUFA8;NDUFV1;NDUFV3;NDUFA10;NDUFA9;NDUFS2
B naive,GO_BP,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),-0.8786721374615306,-1.5689163709099365,0.0,0.002518795789306357,0.021,19/37,3.70%,UQCRB;UQCR11;UQCRQ;COX7B;COX8A;NDUFA4;COX6B1;COX6C;UQCR10;COX5B;COX5A;COX7A2;COX6A1;UQCRC1;UQCRC2;CYCS;NDUFS4;CHCHD5;CYC1
B naive,GO_BP,Aerobic Respiration (GO:0009060),-0.8393196502405103,-1.5691405816881645,0.0,0.0028336452629696522,0.021,42/58,7.07%,NDUFS5;UQCRB;NDUFB1;NDUFB7;NDUFB2;NDUFS6;NDUFA11;NDUFA1;NDUFA3;NDUFB9;NDUFC2;NDUFA12;NDUFA13;NDUFA2;NDUFB10;NDUFS8;NDUFB11;ATP5F1D;NDUFB4;NDUFA6;NDUFB8;NDUFB6;NDUFAB1;UQCRC1;NDUFV2;UQCRC2;NDUFB3;MDH2;NDUFS7;NDUFC1;NDUFB5;NDUFS4;NDUFS3;NDUFA8;NDUFV1;SDHC;NDUFV3;NDUFA10;NDUFA9;NIPSNAP2;SDHB;NDUFS2
