program,library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
program_01,GO_BP,'De Novo' Post-Translational Protein Folding (GO:0051084),4/10,0.000979776564332527,0.12969480564268704,13.591470705460344,94.16423716799501,HSPA8;PTGES3;DNAJB1;HSPE1
program_01,GO_BP,ATF6-mediated Unfolded Protein Response (GO:0036500),1/1,0.05,0.3382352941176471,57.301507537688444,171.65997545395055,XBP1
program_01,GO_BP,ATP Biosynthetic Process (GO:0006754),1/6,0.2651987668706878,0.4419979447844796,5.1955230698949295,6.895891366141625,ATP5F1A
program_01,GO_BP,ATP Metabolic Process (GO:0046034),2/8,0.05690867101358056,0.3548710896635442,7.397500976181179,21.203512966205828,HSPA8;ATP5F1A
program_01,GO_BP,Acetylcholine Receptor Signaling Pathway (GO:0095500),1/2,0.09752376188094046,0.36012214823007827,19.09045226130653,44.43606720228012,RGS10
program_01,GO_BP,Actin Filament Organization (GO:0007015),1/19,0.624351449137703,0.6683549422285251,1.5340214586445742,0.722588304883082,ACTN1
program_01,GO_BP,Actin Polymerization Or Depolymerization (GO:0008154),1/7,0.30204938036764417,0.46491348221023626,4.3938925396211825,5.260213324457561,CFL1
program_01,GO_BP,Actin-Myosin Filament Sliding (GO:0033275),1/2,0.09752376188094046,0.36012214823007827,19.09045226130653,44.43606720228012,MYL6
program_01,GO_BP,Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),3/14,0.029527710017183437,0.3382352941176471,5.898104793756968,20.77563846605403,ANP32B;BEX3;HSPE1
program_01,GO_BP,Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193),1/7,0.30204938036764417,0.46491348221023626,4.3938925396211825,5.260213324457561,RGS1
program_01,GO_BP,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),1/16,0.5612684035694393,0.621487021834111,1.8338466526179285,1.0591492292468137,RGS1
program_01,GO_BP,Adipose Tissue Development (GO:0060612),1/2,0.09752376188094046,0.36012214823007827,19.09045226130653,44.43606720228012,XBP1
program_01,GO_BP,Alpha-Beta T Cell Activation (GO:0046631),1/3,0.14269274276778027,0.37054083202601007,11.44824120603015,22.290430981303242,TRBC1
program_01,GO_BP,Amyloid Fibril Formation (GO:1990000),1/4,0.185622500265638,0.3802191163202,8.173007896625988,13.763674147867052,HNRNPA1
program_01,GO_BP,Anterograde Axonal Transport (GO:0008089),1/5,0.22642297620423327,0.4059476522147166,6.353433835845896,9.437075824917013,SOD1
program_01,GO_BP,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),3/32,0.2129224438787066,0.4059476522147166,2.2773576705780094,3.5226790003711153,TRGC2;TRBC1;CD8B
program_01,GO_BP,Apical Protein Localization (GO:0045176),1/2,0.09752376188094046,0.36012214823007827,19.09045226130653,44.43606720228012,MAL
program_01,GO_BP,Apoptotic Process (GO:0006915),1/35,0.8365274989017777,0.8459857243918731,0.8155997378195324,0.14558119728007216,MAL
program_01,GO_BP,Arachidonic Acid Metabolic Process (GO:0019369),1/9,0.3703491261967131,0.49771460198389655,3.356488323972805,3.334030510112331,PTGES3
program_01,GO_BP,Auditory Receptor Cell Morphogenesis (GO:0002093),1/1,0.05,0.3382352941176471,57.301507537688444,171.65997545395055,SOD1
