program,library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
program_01,GO_BP,Cytoplasmic Translation (GO:0002181),5/7,5.495280232842563e-06,0.004423700587438263,43.735078534031416,529.7026944557578,RPS26;RPL37A;RPL7A;RPLP0;RPS2
program_01,Reactome,rRNA Processing,11/27,1.8913941725357608e-08,9.097605969897009e-06,14.675300490942949,260.9762475593755,MT-CO3;RPS26;TRMT112;RPL37A;MT-CO2;MT-ND4;MT-ND1;RPL7A;RPLP0;RPS2;MT-ND5
program_01,Reactome,Eukaryotic Translation Elongation,7/10,6.745143790584553e-08,1.6222070816355846e-05,43.48739495798319,718.0576875712,EEF1B2;EEF1A1;RPS26;RPL37A;RPL7A;RPLP0;RPS2
program_01,Reactome,Peptide Chain Elongation,6/9,1.002935539879655e-06,0.00016080399822737134,37.290249433106574,515.0745280965156,EEF1A1;RPS26;RPL37A;RPL7A;RPLP0;RPS2
program_01,Reactome,FASTK Family Proteins Regulate Processing and Stability of Mitochondrial RNAs,5/6,1.634908447001823e-06,0.00019659774075196922,72.93019197207678,971.7163169744807,MT-CO3;MT-CO2;MT-ND4;MT-ND1;MT-ND5
program_01,Reactome,Eukaryotic Translation Termination,6/11,5.08004790993938e-06,0.00037760425599961037,23.705146705146706,288.97023912119107,RPS26;TRMT112;RPL37A;RPL7A;RPLP0;RPS2
program_01,Reactome,SRP-dependent Cotranslational Protein Targeting to Membrane,6/11,5.08004790993938e-06,0.00037760425599961037,23.705146705146706,288.97023912119107,RPS26;RPL37A;RPL7A;RPLP0;RPS2;SSR4
program_01,Reactome,tRNA Processing in the Mitochondrion,5/7,5.495280232842563e-06,0.00037760425599961037,43.735078534031416,529.7026944557578,MT-CO3;MT-CO2;MT-ND4;MT-ND1;MT-ND5
program_01,Reactome,Metabolism of RNA,14/76,1.2832894490133756e-05,0.0005641109383997437,4.931005780346821,55.540377697112774,MT-CO3;ACTB;RPS26;TRMT112;HNRNPA1;RPL37A;MT-CO2;MT-ND4;HSPA8;MT-ND1;RPL7A;RPLP0;RPS2;MT-ND5
program_01,Reactome,Mitochondrial RNA Degradation,5/8,1.407345376465057e-05,0.0005641109383997437,31.222887060583396,348.7977480958761,MT-CO3;MT-CO2;MT-ND4;MT-ND1;MT-ND5
