cell_type,library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
B naive,GO_BP,3'-UTR-mediated mRNA Destabilization (GO:0061158),1/15,0.1378808833141102,0.27675657819614324,10.430127041742287,20.665890031952838,ZFP36L1
B naive,GO_BP,Actin Cytoskeleton Reorganization (GO:0031532),2/47,0.07806390638756451,0.227645479633338,5.559138594403078,14.177067981251389,EZR;PHACTR1
B naive,GO_BP,Actin Filament Bundle Assembly (GO:0051017),2/30,0.03498039795111668,0.19541258453816587,8.882628485571612,29.7831640308812,LIMD2;EZR
B naive,GO_BP,Actin Filament Bundle Organization (GO:0061572),2/29,0.03285716678581052,0.18829542934992305,9.206091138081062,31.44419039806997,LIMD2;EZR
B naive,GO_BP,Actin Nucleation (GO:0045010),1/16,0.14636923182674635,0.28121491915884556,9.756730536017463,18.748756482343055,ARPC3
B naive,GO_BP,Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),2/62,0.12435572831101975,0.27294112170093154,4.1777171763432355,8.708907008085825,LAPTM5;IFT57
B naive,GO_BP,Activation Of GTPase Activity (GO:0090630),1/87,0.5776980266124689,0.6092327179817622,1.7421443782867574,0.9559215752484749,ARHGAP24
B naive,GO_BP,Actomyosin Structure Organization (GO:0031032),2/64,0.1309439270964475,0.2747254941043114,4.043627204030226,8.220637838101645,PHACTR1;PDLIM1
B naive,GO_BP,Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002460),1/20,0.17949907614064164,0.3041208464209897,7.753807595912859,13.317825309303496,HLA-DRB1
B naive,GO_BP,Adherens Junction Maintenance (GO:0034334),1/6,0.05760571121225541,0.21254521033487345,27.50991114149009,78.51696070971622,MTSS1
B naive,GO_BP,Adherens Junction Organization (GO:0034332),1/29,0.24943741515037812,0.3533273365317474,5.302862419205909,7.363274956864226,MTSS1
B naive,GO_BP,Aerobic Respiration (GO:0009060),1/58,0.43688799442753395,0.4924726096018637,2.624583197123243,2.17336071332158,CHCHD10
B naive,GO_BP,Ameboidal-Type Cell Migration (GO:0001667),1/17,0.15477441859489557,0.2861260703918181,9.164957849168376,17.099855416577334,PDLIM1
B naive,GO_BP,Amyloid Precursor Protein Catabolic Process (GO:0042987),1/13,0.12065141849772025,0.26596849941415035,12.10015037593985,25.58999975370475,ADAM19
B naive,GO_BP,Amyloid Precursor Protein Metabolic Process (GO:0042982),1/16,0.14636923182674635,0.28121491915884556,9.756730536017463,18.748756482343055,ADAM19
B naive,GO_BP,Anaphase-Promoting Complex-Dependent Catabolic Process (GO:0031145),1/20,0.17949907614064164,0.3041208464209897,7.753807595912859,13.317825309303496,ANAPC16
B naive,GO_BP,Anterior/Posterior Pattern Specification (GO:0009952),1/42,0.3401157167453945,0.4179337120078125,3.6393695081076185,3.9249485621030225,HHEX
B naive,GO_BP,Anterograde Trans-Synaptic Signaling (GO:0098916),2/121,0.3344626534043233,0.4153906704334051,2.108860385949011,2.3096872757786113,PNOC;SYPL1
B naive,GO_BP,Antibacterial Humoral Response (GO:0019731),4/24,8.280302081895909e-05,0.003031026367346634,22.463414634146343,211.13466777605592,JCHAIN;IGHM;RNASE6;IGHA1
B naive,GO_BP,Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483),2/19,0.014754079302624993,0.1186296202887362,14.473911478949262,61.02542188430077,HLA-DRB1;HLA-DRA
B naive,GO_BP,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),10/29,1.154154255768574e-13,1.4594805179764422e-11,56.84090450232183,1693.3040948169066,FCGR2B;HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),10/24,1.1793641453892567e-14,1.640495526236456e-12,76.46022264458323,2452.1723057892104,FCGR2B;HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),10/24,1.1793641453892567e-14,1.640495526236456e-12,76.46022264458323,2452.1723057892104,FCGR2B;HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),18/123,2.446918551449899e-16,5.672772841778017e-14,19.239615659287153,691.597459753815,PRKCB;LAT2;BLK;HLA-DRB1;IGHA1;IGHD;NFKBID;MS4A1;CD19;BLNK;IGHM;IGKC;CD79B;CD79A;IGLC3;HLA-DPA1;MEF2C;PDE4B
B naive,GO_BP,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),1/31,0.2641550535856215,0.36129761999763965,4.954640700110933,6.595711957345892,RNASE6
B naive,GO_BP,Antimicrobial Humoral Response (GO:0019730),4/52,0.001701979241741792,0.03035196314439529,9.481624301566066,60.45448994882265,JCHAIN;IGHM;RNASE6;IGHA1
B naive,GO_BP,Apoptotic Process (GO:0006915),4/211,0.15506171994051113,0.2861260703918181,2.198638830129679,4.0981133777992795,PMAIP1;STK4;CXCR4;IFT57
B naive,GO_BP,Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314),1/14,0.12930855442193664,0.27294112170093154,11.203285992759676,22.916924637215732,ARPC3
B naive,GO_BP,Astral Microtubule Organization (GO:0030953),1/8,0.07606412942972562,0.22274779797210179,20.171929824561403,51.966491639494244,EZR
B naive,GO_BP,Atrial Septum Development (GO:0003283),1/8,0.07606412942972562,0.22274779797210179,20.171929824561403,51.966491639494244,MDM4
B naive,GO_BP,Atrioventricular Valve Development (GO:0003171),1/11,0.10307937838639729,0.2467872897340424,14.406373075546007,32.73496655872962,MDM4
B naive,GO_BP,Atrioventricular Valve Morphogenesis (GO:0003181),1/18,0.16309725431352204,0.293490660737528,8.640816326530611,15.669330671002644,MDM4
B naive,GO_BP,Autophagosome Maturation (GO:0097352),1/43,0.34662152649847117,0.42109217760643963,3.553560371517028,3.765074667083816,RUBCNL
B naive,GO_BP,Autophagosome-Lysosome Fusion (GO:0061909),1/8,0.07606412942972562,0.22274779797210179,20.171929824561403,51.966491639494244,RUBCNL
B naive,GO_BP,B Cell Activation (GO:0042113),15/73,4.0656559635377245e-16,8.079039207544249e-14,28.66751906374548,1015.9420844106742,PRKCB;KLF6;CD40;LAT2;CD22;TPD52;MEF2C;BLNK;CD79A;HHEX;CD79B;BANK1;FCRLA;PAX5;MS4A1
B naive,GO_BP,B Cell Activation Involved In Immune Response (GO:0002312),3/13,0.0002495015348126345,0.007230346560924471,33.95527426160338,281.6944999417236,FCGR2B;GAPT;CD19
B naive,GO_BP,B Cell Differentiation (GO:0030183),8/52,3.963541636267342e-08,2.8281482198953403e-06,19.929169706697795,339.66365618275455,MS4A1;BLNK;HHEX;CD79A;CD79B;TPD52;PAX5;KLF6
B naive,GO_BP,B Cell Homeostasis (GO:0001782),4/9,1.1023672219915823e-06,6.133571223161164e-05,83.78972935461485,1149.4317529495497,GAPT;TNFRSF13B;MEF2C;LYN
B naive,GO_BP,B Cell Mediated Immunity (GO:0019724),3/15,0.0003912115670051246,0.00971741588757372,28.51959493670886,223.77221549691882,FCGR2B;CD74;CD19
B naive,GO_BP,B Cell Proliferation (GO:0042100),6/15,3.911688523605064e-09,3.022865964630358e-07,70.77621431470708,1370.1777328368903,CD40;CD19;CD79A;GAPT;MEF2C;MS4A1
B naive,GO_BP,B Cell Receptor Signaling Pathway (GO:0050853),14/44,4.462020365121074e-18,3.1033351639417065e-15,51.23337581857337,2046.8210116969472,PRKCB;LAT2;MS4A1;BLK;IGHD;CD19;BLNK;IGHM;IGKC;CD79A;CD79B;IGLC3;MEF2C;IGHA1
B naive,GO_BP,Biogenic Amine Metabolic Process (GO:0006576),1/12,0.11190864079338264,0.25687280419735187,13.15299117358614,28.806003574890045,ODC1
B naive,GO_BP,Blood Vessel Diameter Maintenance (GO:0097746),1/24,0.2113493142081956,0.3262895627786904,6.432730763077908,9.998026738751566,KLF2
B naive,GO_BP,Bradykinin Catabolic Process (GO:0010815),1/5,0.04823937131474761,0.204933112658981,33.624895572263995,101.93655281856934,CTSH
B naive,GO_BP,Brain Development (GO:0007420),1/128,0.7190483131251795,0.7306035088072496,1.1795075925106886,0.3890331306315543,CXCR4
B naive,GO_BP,Calcium Ion Homeostasis (GO:0055074),1/78,0.5382289841553342,0.5745790613661318,1.9453310696095076,1.2050765492593467,CD40
B naive,GO_BP,Calcium Ion Transport (GO:0006816),2/89,0.21828012559020568,0.3332723980649152,2.8847067290392228,4.390454585472786,ORAI2;MS4A1
B naive,GO_BP,Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0016339),1/20,0.17949907614064164,0.3041208464209897,7.753807595912859,13.317825309303496,SELL
B naive,GO_BP,Calcium-Ion Regulated Exocytosis (GO:0017156),1/16,0.14636923182674635,0.28121491915884556,9.756730536017463,18.748756482343055,VAMP2
B naive,GO_BP,Calcium-Mediated Signaling (GO:0019722),2/77,0.17544400942272345,0.30278240335857115,3.345204931022403,5.82211281996512,CXCR4;LAT2
B naive,GO_BP,Cardiac Atrium Development (GO:0003230),1/6,0.05760571121225541,0.21254521033487345,27.50991114149009,78.51696070971622,MDM4
B naive,GO_BP,Cardiac Muscle Cell Differentiation (GO:0055007),1/23,0.20350399527467847,0.3218961730206593,6.718964076858814,10.69705872904765,MEF2C
B naive,GO_BP,Cardiac Ventricle Development (GO:0003231),1/15,0.1378808833141102,0.27675657819614324,10.430127041742287,20.665890031952838,MDM4
B naive,GO_BP,Cardiac Ventricle Morphogenesis (GO:0003208),1/30,0.2568324847089732,0.3568970891410407,5.122849496622913,6.96364924115511,MEF2C
B naive,GO_BP,Cartilage Development (GO:0051216),1/40,0.32691010463854264,0.40856420085553713,3.82402208051775,4.2755245788097485,MEF2C
B naive,GO_BP,Cell Cycle G1/S Phase Transition (GO:0044843),1/49,0.38433768978788935,0.4485014484018071,3.1130144950003875,2.9767694071572586,PIM2
B naive,GO_BP,Cell Junction Maintenance (GO:0034331),1/14,0.12930855442193664,0.27294112170093154,11.203285992759676,22.916924637215732,CHCHD10
B naive,GO_BP,Cell Morphogenesis Involved In Differentiation (GO:0000904),1/21,0.1875796446245826,0.31027021699247415,7.375206308454062,12.342789442048794,MEF2C
B naive,GO_BP,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667),1/62,0.45878727323181206,0.507695383504734,2.4533895714897,1.9116041995229218,MEF2C
B naive,GO_BP,Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling (GO:1905114),1/26,0.2268100254595254,0.33801304633261503,5.927613150523367,8.794458818211803,CD24
B naive,GO_BP,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),1/115,0.6802651708148755,0.7004062565532878,1.3142791476507865,0.5063557440057814,SELL
B naive,GO_BP,Cell-Cell Junction Maintenance (GO:0045217),1/11,0.10307937838639729,0.2467872897340424,14.406373075546007,32.73496655872962,MTSS1
B naive,GO_BP,Cell-Cell Signaling By Wnt (GO:0198738),1/23,0.20350399527467847,0.3218961730206593,6.718964076858814,10.69705872904765,CD24
B naive,GO_BP,Cellular Component Assembly (GO:0022607),10/229,9.420817034549573e-05,0.0033600914089893475,4.999426039854358,46.34469761792976,LIMD2;MDM4;CD40;VAMP2;EZR;STX7;JCHAIN;CHCHD10;CD74;STAG3
B naive,GO_BP,Cellular Defense Response (GO:0006968),2/45,0.07239692417498671,0.22274779797210179,5.815310229016474,15.26862889935179,NCF1;FCMR
B naive,GO_BP,Cellular Hyperosmotic Response (GO:0071474),1/5,0.04823937131474761,0.204933112658981,33.624895572263995,101.93655281856934,RCSD1
B naive,GO_BP,Cellular Response To Acid Chemical (GO:0071229),1/23,0.20350399527467847,0.3218961730206593,6.718964076858814,10.69705872904765,KLF2
B naive,GO_BP,Cellular Response To Amyloid-Beta (GO:1904646),1/31,0.2641550535856215,0.36129761999763965,4.954640700110933,6.595711957345892,FCGR2B
B naive,GO_BP,Cellular Response To Cadmium Ion (GO:0071276),2/21,0.017887706461823694,0.13377311660428365,12.988115998191565,52.25952373108125,NCF1;JUN
B naive,GO_BP,Cellular Response To Calcium Ion (GO:0071277),2/54,0.09890709742581318,0.2467872897340424,4.81624085402423,11.142730962639764,RASGRP2;MEF2C
B naive,GO_BP,Cellular Response To Catecholamine Stimulus (GO:0071870),1/17,0.15477441859489557,0.2861260703918181,9.164957849168376,17.099855416577334,PDE4B
B naive,GO_BP,Cellular Response To Chemokine (GO:1990869),1/46,0.3657585017757475,0.43484621877783314,3.318763942824093,3.337953017950472,RIPOR2
B naive,GO_BP,Cellular Response To Corticosteroid Stimulus (GO:0071384),1/11,0.10307937838639729,0.2467872897340424,14.406373075546007,32.73496655872962,ZFP36L1
