cell_type,library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
B naive,GO_BP,Immunoglobulin Mediated Immune Response (GO:0016064),13/28,1.7957555319261484e-19,2.4978959449092724e-16,93.43045161290323,4032.803136342071,FCGR2B;HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;CD19;HLA-DRA;CD74;HLA-DPA1;GAPT
B naive,GO_BP,B Cell Receptor Signaling Pathway (GO:0050853),14/44,4.462020365121074e-18,3.1033351639417065e-15,51.23337581857337,2046.8210116969472,PRKCB;LAT2;MS4A1;BLK;IGHD;CD19;BLNK;IGHM;IGKC;CD79A;CD79B;IGLC3;MEF2C;IGHA1
B naive,GO_BP,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),10/17,1.2414699701851922e-16,4.301240214088797e-14,147.8745406824147,5415.914716178028,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1;GAPT
B naive,GO_BP,MHC Class II Protein Complex Assembly (GO:0002399),9/12,1.5460964105279644e-16,4.301240214088797e-14,285.25512868332714,10384.892150829974,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),9/12,1.5460964105279644e-16,4.301240214088797e-14,285.25512868332714,10384.892150829974,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),18/123,2.446918551449899e-16,5.672772841778017e-14,19.239615659287153,691.597459753815,PRKCB;LAT2;BLK;HLA-DRB1;IGHA1;IGHD;NFKBID;MS4A1;CD19;BLNK;IGHM;IGKC;CD79B;CD79A;IGLC3;HLA-DPA1;MEF2C;PDE4B
B naive,GO_BP,B Cell Activation (GO:0042113),15/73,4.0656559635377245e-16,8.079039207544249e-14,28.66751906374548,1015.9420844106742,PRKCB;KLF6;CD40;LAT2;CD22;TPD52;MEF2C;BLNK;CD79A;HHEX;CD79B;BANK1;FCRLA;PAX5;MS4A1
B naive,GO_BP,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),9/16,7.771118747360651e-15,1.3512032721973332e-12,133.09260226283726,4323.960676170493,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),10/24,1.1793641453892567e-14,1.640495526236456e-12,76.46022264458323,2452.1723057892104,FCGR2B;HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),10/24,1.1793641453892567e-14,1.640495526236456e-12,76.46022264458323,2452.1723057892104,FCGR2B;HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),10/29,1.154154255768574e-13,1.4594805179764422e-11,56.84090450232183,1693.3040948169066,FCGR2B;HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Regulation Of B Cell Proliferation (GO:0030888),10/42,7.588537144102404e-12,8.796379306205371e-10,34.082495457298606,872.6612426678088,FCGR2B;MZB1;CD40;CD22;IKZF3;TNFRSF13C;CD74;TNFRSF13B;LYN;MEF2C
B naive,GO_BP,Regulation Of B Cell Activation (GO:0050864),8/25,7.150259093532045e-11,7.650777230079288e-09,50.74515769944341,1185.4722146987704,FCGR2B;MZB1;ZFP36L1;CD22;IKZF3;LAPTM5;CD19;BANK1
B naive,GO_BP,Regulation Of T Cell Activation (GO:0050863),10/55,1.350115592206126e-10,1.3414362776848007e-08,24.328891580860084,552.8901356945843,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;LAPTM5;HLA-DRA;HLA-DPA1
B naive,GO_BP,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),9/41,1.9247853518979437e-10,1.784917616326693e-08,30.675517172122916,686.2431135140889,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Positive Regulation Of Lymphocyte Activation (GO:0051251),9/42,2.4290308011134676e-10,2.1117386527180208e-08,29.758349245937413,658.8010069335546,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Positive Regulation Of T Cell Activation (GO:0050870),11/96,2.700151178783077e-09,2.2093589939336823e-07,14.226434600132698,280.6869581940411,HLA-DRB5;HLA-DOA;HLA-DMB;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;TNFRSF13C;HLA-DPA1;RHOH
B naive,GO_BP,B Cell Proliferation (GO:0042100),6/15,3.911688523605064e-09,3.022865964630358e-07,70.77621431470708,1370.1777328368903,CD40;CD19;CD79A;GAPT;MEF2C;MS4A1
B naive,GO_BP,B Cell Differentiation (GO:0030183),8/52,3.963541636267342e-08,2.8281482198953403e-06,19.929169706697795,339.66365618275455,MS4A1;BLNK;HHEX;CD79A;CD79B;TPD52;PAX5;KLF6
B naive,GO_BP,Lymphocyte Differentiation (GO:0030098),9/73,4.066352580726585e-08,2.8281482198953403e-06,15.432044042342179,262.6215119067837,MS4A1;BLNK;RHOH;HHEX;CD79A;CD79B;TPD52;PAX5;KLF6
B naive,GO_BP,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),12/167,1.0231903698745194e-07,6.7774181166450314e-06,8.517701945465555,137.0938616009045,BIRC3;PRKCB;CD40;EEF1D;TRIM38;LTB;REL;CXXC5;HLA-DRB1;TRAF5;CD74;PIM2
B naive,GO_BP,Regulation Of B Cell Receptor Signaling Pathway (GO:0050855),5/16,3.5073439734570134e-07,2.121180637860307e-05,49.21438896919827,731.4851075037152,FCGR2B;PRKCB;FOXP1;CD22;LYN
