,Platelet,Plasmacytoid DC,Pre-B large,Erythroid late,Erythroid early,B naive,Monocyte classical,NK
AL669831.5,-0.0059978136151781,0.016644764131199426,0.008937967176504217,-0.018335531321952675,-0.0042170781334602,0.012071727602876905,0.0007162068625146652,-0.008389986776572633
LINC00115,-0.004736648361073373,-0.000994112645659794,-0.006125655943677221,-0.008571621025456564,0.013169957427297261,0.005613934425648541,-0.006533415248441331,-0.00024112951799643543
FAM41C,-0.004331944018582057,0.005467775887372292,0.004253553828853781,-0.003526435990062999,0.020024360365206245,0.008516512154506764,-0.0009106675541907846,-0.013663452176883964
NOC2L,-0.009559042536192029,0.007229702210809714,0.025654540736211984,0.002716909257628943,0.08474425535906013,-0.011054831022243673,-0.04433387700108057,0.004519814633785425
KLHL17,-0.0022131478560753,-0.001299179649257734,0.006095967886077641,-0.005462332171303898,0.0011130454169556109,-0.01042500125166236,0.007911009456465442,0.002383410540623885
PLEKHN1,-0.0005949982820382879,-0.005012891628039147,-0.006195422400587555,-0.006004641919840667,-0.0077980982215788116,-0.017322478704243825,-0.009746976627304138,0.027016839636456083
HES4,-0.008134559065211593,0.014391521540092019,-0.01515626323265121,-0.01746001101440671,-0.018570156313688687,-0.028170530829830974,0.1570996282427105,-0.08110999713788827
ISG15,-0.017328547569145463,-0.006519656335659369,-0.001197005178402799,-0.047327429378702865,-0.03603304545257114,-0.08721067344441244,0.14837191333548386,-0.013813590399366416
AGRN,-0.00323530384614376,0.007435097183929268,-0.0033628665633334436,0.0016518933293564193,0.04726105302766475,0.0013678208233025343,0.011348713414432395,-0.026835258716474995
C1orf159,-0.005266920924002989,-0.0021480982027860295,0.019923930062798984,-0.000657551006882687,0.04638641244704687,0.000493791555115126,-0.010895656607724052,-0.011893812002621473
TNFRSF18,-0.005578902300271964,-0.020615034216729552,-0.014447097553606706,-0.01940675595521981,-0.021014878889222172,-0.02628550195640931,-0.05400768176855875,0.07931818254131097
TNFRSF4,0.0015020547363604347,-0.010986602367369244,-0.01667718683062637,-0.016133135794746126,-0.02462055962231508,-0.05452612833960556,-0.058105903821785966,0.10265239311672436
SDF4,-0.013901938535298714,0.021801144486265585,0.018392120565898545,-0.0037709269432030807,0.0704216056514984,-0.04095160983974846,-0.007593209060444364,0.006520064508028145
B3GALT6,-0.0034989409909190333,0.0017753960311637873,0.017756529685551414,0.0020442351988167024,0.04167145822821283,-0.006474099109160644,0.012215196602215908,-0.022839618313144412
C1QTNF12,-0.002323426955755656,0.005951572081680791,0.0037341668975229537,-0.005621383509609898,0.0003755466871886134,0.0010498876641706907,0.006856470564108311,-0.006288443228984895
UBE2J2,-0.010446145381110314,-0.000933019637401488,0.04605462034620874,0.05495448851802612,0.14963292507901435,-0.021101503985955092,-0.047703235923519646,-0.02353300372090644
SCNN1D,-0.0014906286602041213,0.00032409481368856887,0.0011919588233032035,-0.0001940788294129398,0.016401298284742277,-0.012108372081874002,0.017430096963138207,-0.009293014128607795
ACAP3,-0.00832021015300073,0.0001422991773093555,0.02534303562251675,-0.010190162171818248,0.017079665430630636,-0.015499213930980941,0.03937500392570479,-0.02492397476575232
PUSL1,-0.005079829389596566,-0.0011753847619300078,0.046889409999024564,0.023811977373156077,0.06518131644919879,-0.023219255120386764,0.02106531180830372,-0.03535619905448264
INTS11,-0.004519952135170582,0.02167623437988855,0.07433195142435352,0.01712657765796117,0.10546662920371926,-0.020542929301894827,-0.014602654325514148,-0.03399850476538099
CPTP,0.00040514802005333234,-0.006876852131316354,0.00017097693579111803,0.0011176713399121245,0.03919312785930709,-0.009909314720840855,-0.025821170765252442,0.013687754084031558
DVL1,-0.0035698444700231068,-0.0017753848350951385,-0.003067618160439834,0.009847679752330082,0.03953161358530342,-0.012359810914401859,0.015612260357003494,-0.016917620969091097
MXRA8,0.001062939051410364,0.0023250132835897085,-0.004792333641471706,-0.00441960312881924,-0.007932720168226408,-0.011885140717645145,-0.015473735896014987,0.024837219585987037
AURKAIP1,-0.021686425333281596,0.041364024781451576,0.07671926882342125,0.03559776706503244,0.15223037269633602,-0.06703970605273776,0.11529913604701723,-0.11678720925531584
CCNL2,-0.008243750454902467,-0.007466424476232657,0.006290904590251267,-0.015686527366529777,0.03260443377265602,-0.009917646985848096,-0.04599559304871267,0.034433484214115906
MRPL20,-0.014076784881647963,0.013278416460044504,0.04339164043568126,0.09247004901614676,0.24342433273831618,-0.08153085810209036,0.002497404030683442,-0.05757605569147982
AL391244.3,-0.0025753158575952317,0.006047303158705835,-0.004419553949665796,-0.0036785791098388853,0.015848899342863015,-0.005972279204764366,0.0075628485322500804,-0.005601478888486587
ANKRD65,-0.0026107132259613843,0.03272358129737825,0.012365544211548394,-0.0051069349090358054,-0.005567099413799147,0.02091471855061578,0.013935777531413339,-0.03169544767094558
ATAD3C,-0.0012057965949465413,0.006424105920131505,0.0013338126635320945,-0.004273630135288987,0.0028168825103531423,-0.009620596273332945,-0.006216661865765901,0.01063813653089092
ATAD3B,-0.006663571051575225,-0.004029652739065666,0.021674743361864004,0.024392302268855155,0.11126698172710593,-0.01958896785602997,-0.010144310221829956,-0.02579949408272821
ATAD3A,-0.008093690745205415,0.004418012157792449,0.08069554181099638,0.1184136039821053,0.31371420542953754,-0.05405852791255047,-0.008130017597181445,-0.10873523457692517
SSU72,-0.005593110570490419,-0.002497256207201365,0.02100067597212154,-0.020183428524426023,0.04425650622448979,-0.03261079985626176,-0.022694270038813674,0.027715890684761792
AL645728.1,-0.0026065045295189755,-0.0048377070383746525,-0.005362041985465612,-0.01623178570893634,-0.010347782926735556,-0.006036078861209613,-0.034619930618247745,0.03983650998684937
FNDC10,-0.0008450501484592972,0.0024529462284245854,0.0070550587602413,0.012423406822518041,0.019571564190536166,-0.021676922238849927,0.05402383311396363,-0.034527450333187236
AL691432.2,-0.003980678188552055,-0.004158518542278165,0.009521424937967912,-0.009147461389814222,0.013830877635951122,0.0063415481465488605,-0.00753055414648095,-0.0028882031726704155
MIB2,-0.009207745418644398,0.011641593296522468,-0.0026445945185984516,-0.03316097710667311,-0.024467202378068036,-0.06315093285462028,-0.09053960678487488,0.13081998139978168
MMP23B,0.004456765163771455,0.018195375164129085,-0.015653550632076334,-0.014059225622100406,-0.0019214974805284004,-0.057510099609562264,-0.05422467753744677,0.08763182119911933
CDK11B,-0.005805997348331327,-0.010913322287863096,0.023208550124529083,0.00943526423951404,0.04861638358709419,-0.02211508095702242,-0.03794068716162203,0.023104781339620677
FO704657.1,0.023039949248318838,-0.004070410424782054,0.004065976936663348,-0.0036046190235729724,0.008041104325376988,0.004734042823643542,-0.0025263385576153726,-0.005753502217551039
SLC35E2B,-0.0035909385024897383,0.0014001496650450195,0.008355838501603464,-0.013910304710926323,-0.00333563253476315,-0.0025422432945820207,-0.02465964864198086,0.02286283970738596
CDK11A,-0.007991464900458888,0.00551025974012525,0.008244665775873714,-0.017778618154590736,0.01981195998920426,-0.017404648269774618,-0.04764153462117758,0.04355117819685586
SLC35E2A,-0.0022541510431130112,0.011246355733701467,0.022200400660030845,-0.007459267410752803,0.001308288377917833,0.0034258595838589107,-0.016772268161620276,0.004409512583698797
