lineage,gene,correlation,p_value,pct_cells
Platelet,TUBB1,0.8400873854370725,0.0,0.005776736924277908
Platelet,TMEM40,0.8376176174087894,0.0,0.0021597710122300286
Platelet,GP9,0.8051320938140026,0.0,0.004475670049440541
Platelet,ACRBP,0.7827377830749009,0.0,0.007181889149102264
Platelet,CAVIN2,0.7390757378744912,0.0,0.025344782721831903
Platelet,TREML1,0.7257301437020822,0.0,0.0030705178246161853
Platelet,PF4,0.7042561315291739,0.0,0.009523809523809525
Platelet,CMTM5,0.6972119920278864,0.0,0.004163413999479573
Platelet,PPBP,0.6963712230614221,0.0,0.010668748373666407
Platelet,AC147651.1,0.6934198644603261,0.0,0.004944054124381993
Platelet,CLEC1B,0.6557320998202388,0.0,0.002107728337236534
Platelet,GNG11,0.6272937118241918,0.0,0.015482695810564663
Platelet,CLDN5,0.6139841493151603,0.0,0.0015092375748113453
Platelet,PTCRA,0.6067351326878849,0.0,0.006479313036690086
Platelet,AP001189.1,0.5892700268433443,0.0,0.0016913869372885766
Platelet,HIST1H2BJ,0.5781534705794864,0.0,0.005542544886807182
Platelet,PDZK1IP1,0.5657213499352385,0.0,0.006115014311735624
Platelet,SPARC,0.5254067027598156,0.0,0.013348946135831381
Platelet,CTTN,0.5142213216215391,0.0,0.018293000260213375
Platelet,C2orf88,0.5003356768003914,0.0,0.01501431173562321
Platelet,MAP3K7CL,0.49911854166365677,0.0,0.015352589123080927
Platelet,CLU,0.496674667394161,0.0,0.02027062190996617
Platelet,RGS18,0.49370328533368385,0.0,0.02721831902159771
Platelet,SCN1B,0.4845164414567534,0.0,0.0024720270621909966
Platelet,LCN2,0.4607832138714315,0.0,0.006583398386677076
Platelet,HIST1H3H,0.45690353747533025,0.0,0.009784022898776997
Platelet,ESAM,0.45524938335514875,0.0,0.0031485818371064273
Platelet,MYL9,0.41494930080331593,0.0,0.002966432474629196
Platelet,SPX,0.40468780199270016,0.0,0.00195160031225605
Platelet,SMOX,0.39163336436218166,0.0,0.01035649232370544
Platelet,NRGN,0.39026035093406675,0.0,0.034738485558157686
Platelet,LGALSL,0.39004918654340787,0.0,0.002029664324746292
Platelet,C19orf33,0.38989822720350115,0.0,0.0034608378870673953
Platelet,HIST1H2AC,0.3869507538776884,0.0,0.04530314858183711
Platelet,RUFY1,0.38603482895938723,0.0,0.04166016133229248
Platelet,MPIG6B,0.385779092548111,0.0,0.0061410356492323705
Platelet,TSC22D1,0.3845985355718537,0.0,0.06055165235493104
Platelet,SMIM5,0.3753204390882065,0.0,0.01686182669789227
Platelet,AP003068.2,0.362711419891623,0.0,0.004319542024460057
Platelet,MEIS1,0.3615665980452502,0.0,0.006973718449128285
Platelet,GMPR,0.35830876279083274,0.0,0.031199583658600052
Platelet,DNM3,0.35632355309360425,0.0,0.0030965391621129326
Platelet,LINC00853,0.3521566308022194,0.0,0.002263856362217018
Platelet,MMD,0.3458707348906806,0.0,0.0453551912568306
Platelet,ITGA2B,0.3443902847676004,0.0,0.011839708561020037
Platelet,SH3BGRL2,0.33748157141356067,0.0,0.005906843611761645
Platelet,TMEM140,0.32895289926477717,0.0,0.007728337236533958
Platelet,TNNC2,0.3287722346192204,0.0,0.0034087952120739006
Platelet,ARHGAP6,0.3240903720330613,0.0,0.0025500910746812386
Platelet,TNFSF4,0.3193289362823292,0.0,0.0025500910746812386
Plasmacytoid DC,LILRA4,0.797090091209789,0.0,0.00975800156128025
Plasmacytoid DC,SCT,0.6795130188527562,0.0,0.006401249024199844
Plasmacytoid DC,SERPINF1,0.6371474476654289,0.0,0.0166016133229248
Plasmacytoid DC,TPM2,0.5831741503487579,0.0,0.01142336716107208
Plasmacytoid DC,SMPD3,0.5665660251476171,0.0,0.0061410356492323705
Plasmacytoid DC,CLEC4C,0.5281538882261577,0.0,0.00429352068696331
Plasmacytoid DC,PLD4,0.5186151321896048,0.0,0.04519906323185012
