gene,bin,scaled,lineage
CCDC50,0,0.32293284,Plasmacytoid DC
CCDC50,1,2.1141748,Plasmacytoid DC
CCDC50,2,-1.4601549,Plasmacytoid DC
CCDC50,3,0.24047889,Plasmacytoid DC
CCDC50,4,0.8627622,Plasmacytoid DC
CCDC50,5,-0.18242547,Plasmacytoid DC
CCDC50,6,-1.8696259,Plasmacytoid DC
CCDC50,7,-0.2990297,Plasmacytoid DC
CCDC50,8,-0.0069377734,Plasmacytoid DC
CCDC50,9,-2.5591002,Plasmacytoid DC
CCDC50,10,-1.2842411,Plasmacytoid DC
CCDC50,11,-0.30744117,Plasmacytoid DC
CCDC50,12,0.87770134,Plasmacytoid DC
CCDC50,13,1.3552893,Plasmacytoid DC
CCDC50,14,0.15581822,Plasmacytoid DC
CCDC50,15,-1.3722202,Plasmacytoid DC
CCDC50,16,0.43441123,Plasmacytoid DC
CCDC50,17,-0.7416081,Plasmacytoid DC
CCDC50,18,-0.5016852,Plasmacytoid DC
CCDC50,19,-0.88460666,Plasmacytoid DC
CCDC50,20,-0.8284346,Plasmacytoid DC
CCDC50,21,0.13305894,Plasmacytoid DC
CCDC50,22,-1.359272,Plasmacytoid DC
CCDC50,23,1.041532,Plasmacytoid DC
CCDC50,24,-1.6340834,Plasmacytoid DC
CCDC50,25,0.71752936,Plasmacytoid DC
CCDC50,26,1.1264238,Plasmacytoid DC
CCDC50,27,-0.47376692,Plasmacytoid DC
CCDC50,28,-0.12537,Plasmacytoid DC
CCDC50,29,-0.33506522,Plasmacytoid DC
CCDC50,30,0.741392,Plasmacytoid DC
CCDC50,31,0.0008625095,Plasmacytoid DC
CCDC50,32,0.1453983,Plasmacytoid DC
CCDC50,33,0.7812287,Plasmacytoid DC
CCDC50,34,0.49212885,Plasmacytoid DC
CCDC50,35,0.80766773,Plasmacytoid DC
CCDC50,36,1.0551109,Plasmacytoid DC
CCDC50,37,0.94539905,Plasmacytoid DC
CCDC50,38,0.85817355,Plasmacytoid DC
CCDC50,39,1.0156051,Plasmacytoid DC
PROC,0,-0.071099386,Plasmacytoid DC
PROC,1,-0.37288362,Plasmacytoid DC
PROC,2,-1.3107284,Plasmacytoid DC
PROC,3,-0.107209094,Plasmacytoid DC
PROC,4,0.031555153,Plasmacytoid DC
PROC,5,2.1707258,Plasmacytoid DC
PROC,6,2.611878,Plasmacytoid DC
PROC,7,-0.40902948,Plasmacytoid DC
PROC,8,-9.300909e-05,Plasmacytoid DC
PROC,9,-0.15615475,Plasmacytoid DC
PROC,10,0.6037542,Plasmacytoid DC
PROC,11,-1.2620218,Plasmacytoid DC
PROC,12,1.2745852,Plasmacytoid DC
PROC,13,-1.246513,Plasmacytoid DC
PROC,14,-0.61255395,Plasmacytoid DC
PROC,15,-0.30163136,Plasmacytoid DC
PROC,16,0.6754685,Plasmacytoid DC
PROC,17,-0.42671934,Plasmacytoid DC
PROC,18,1.0404812,Plasmacytoid DC
PROC,19,0.12442675,Plasmacytoid DC
PROC,20,0.16109683,Plasmacytoid DC
PROC,21,-0.73929495,Plasmacytoid DC
PROC,22,1.5327662,Plasmacytoid DC
PROC,23,-1.2844375,Plasmacytoid DC
PROC,24,-0.38310236,Plasmacytoid DC
PROC,25,-1.4272306,Plasmacytoid DC
PROC,26,1.6812124,Plasmacytoid DC
PROC,27,0.61721987,Plasmacytoid DC
PROC,28,0.049663156,Plasmacytoid DC
PROC,29,0.23970464,Plasmacytoid DC
PROC,30,-1.0255734,Plasmacytoid DC
PROC,31,-1.1910076,Plasmacytoid DC
