cell_type,bin,fraction,lineage
Dendritic cell,0,0.125,Plasmacytoid DC
Dendritic cell,1,0.0,Plasmacytoid DC
Dendritic cell,2,0.0,Plasmacytoid DC
Dendritic cell,3,0.0,Plasmacytoid DC
Dendritic cell,4,0.0,Plasmacytoid DC
Dendritic cell,5,0.0,Plasmacytoid DC
Dendritic cell,6,0.0,Plasmacytoid DC
Dendritic cell,7,0.125,Plasmacytoid DC
Dendritic cell,8,0.0,Plasmacytoid DC
Dendritic cell,9,0.0,Plasmacytoid DC
Dendritic cell,10,0.0,Plasmacytoid DC
Dendritic cell,11,0.0,Plasmacytoid DC
Dendritic cell,12,0.0,Plasmacytoid DC
Dendritic cell,13,0.0,Plasmacytoid DC
Dendritic cell,14,0.0,Plasmacytoid DC
Dendritic cell,15,0.0,Plasmacytoid DC
Dendritic cell,16,0.0,Plasmacytoid DC
Dendritic cell,17,0.0,Plasmacytoid DC
Dendritic cell,18,0.0,Plasmacytoid DC
Dendritic cell,19,0.0,Plasmacytoid DC
Dendritic cell,20,0.0,Plasmacytoid DC
Dendritic cell,21,0.0,Plasmacytoid DC
Dendritic cell,22,0.0,Plasmacytoid DC
Dendritic cell,23,0.0,Plasmacytoid DC
Dendritic cell,24,0.0,Plasmacytoid DC
Dendritic cell,25,0.0,Plasmacytoid DC
Dendritic cell,26,0.0,Plasmacytoid DC
Dendritic cell,27,0.0,Plasmacytoid DC
Dendritic cell,28,0.0,Plasmacytoid DC
Dendritic cell,29,0.0,Plasmacytoid DC
Dendritic cell,30,0.0,Plasmacytoid DC
Dendritic cell,31,0.0,Plasmacytoid DC
Dendritic cell,32,0.0,Plasmacytoid DC
Dendritic cell,33,0.0,Plasmacytoid DC
Dendritic cell,34,0.0,Plasmacytoid DC
Dendritic cell,35,0.0,Plasmacytoid DC
Dendritic cell,36,0.0,Plasmacytoid DC
Dendritic cell,37,0.0,Plasmacytoid DC
Dendritic cell,38,0.0,Plasmacytoid DC
Dendritic cell,39,0.0,Plasmacytoid DC
Plasmacytoid DC,0,0.875,Plasmacytoid DC
Plasmacytoid DC,1,1.0,Plasmacytoid DC
Plasmacytoid DC,2,1.0,Plasmacytoid DC
Plasmacytoid DC,3,1.0,Plasmacytoid DC
Plasmacytoid DC,4,1.0,Plasmacytoid DC
Plasmacytoid DC,5,1.0,Plasmacytoid DC
Plasmacytoid DC,6,1.0,Plasmacytoid DC
Plasmacytoid DC,7,0.875,Plasmacytoid DC
Plasmacytoid DC,8,1.0,Plasmacytoid DC
Plasmacytoid DC,9,1.0,Plasmacytoid DC
Plasmacytoid DC,10,1.0,Plasmacytoid DC
Plasmacytoid DC,11,1.0,Plasmacytoid DC
Plasmacytoid DC,12,1.0,Plasmacytoid DC
Plasmacytoid DC,13,1.0,Plasmacytoid DC
Plasmacytoid DC,14,1.0,Plasmacytoid DC
Plasmacytoid DC,15,1.0,Plasmacytoid DC
Plasmacytoid DC,16,1.0,Plasmacytoid DC
Plasmacytoid DC,17,1.0,Plasmacytoid DC
Plasmacytoid DC,18,1.0,Plasmacytoid DC
Plasmacytoid DC,19,1.0,Plasmacytoid DC
Plasmacytoid DC,20,1.0,Plasmacytoid DC
Plasmacytoid DC,21,1.0,Plasmacytoid DC
Plasmacytoid DC,22,1.0,Plasmacytoid DC
Plasmacytoid DC,23,1.0,Plasmacytoid DC
Plasmacytoid DC,24,1.0,Plasmacytoid DC
Plasmacytoid DC,25,1.0,Plasmacytoid DC
Plasmacytoid DC,26,1.0,Plasmacytoid DC
Plasmacytoid DC,27,1.0,Plasmacytoid DC
Plasmacytoid DC,28,1.0,Plasmacytoid DC
Plasmacytoid DC,29,1.0,Plasmacytoid DC
Plasmacytoid DC,30,1.0,Plasmacytoid DC
Plasmacytoid DC,31,1.0,Plasmacytoid DC
Plasmacytoid DC,32,1.0,Plasmacytoid DC
Plasmacytoid DC,33,1.0,Plasmacytoid DC
