,gene,cell_type,n_cells,n_expressing,mean_all,mean_expressing,max_count,pct_expressing
6,EPCAM,Erythroid early,1151,1025,5.8105993,6.524878025054932,28.0,0.8905299739357081
7,EPCAM,Erythroid late,597,155,0.4120603,1.5870968103408813,6.0,0.25963149078726966
9,EPCAM,HSPC,973,121,0.21068859,1.6942148208618164,13.0,0.12435765673175746
8,EPCAM,Granulocyte precursor,926,11,0.015118791,1.2727272510528564,3.0,0.011879049676025918
5,EPCAM,Dendritic cell,497,5,0.012072435,1.2000000476837158,2.0,0.01006036217303823
15,EPCAM,Pre-B large,334,2,0.005988024,1.0,1.0,0.005988023952095809
17,EPCAM,T activated,583,2,0.0034305318,1.0,1.0,0.003430531732418525
13,EPCAM,Plasmacytoid DC,330,1,0.003030303,1.0,1.0,0.0030303030303030303
10,EPCAM,Monocyte classical,5030,6,0.001192843,1.0,1.0,0.0011928429423459245
11,EPCAM,Monocyte non-classical,901,1,0.001109878,1.0,1.0,0.0011098779134295228
3,EPCAM,CD8 T cytotoxic,2307,2,0.00086692674,1.0,1.0,0.0008669267446900737
2,EPCAM,CD4 T naive,10765,8,0.0007431491,1.0,1.0,0.0007431490942870413
1,EPCAM,CD4 T memory,2713,2,0.0007371913,1.0,1.0,0.0007371913011426465
0,EPCAM,B naive,5018,1,0.00019928259,1.0,1.0,0.00019928258270227183
4,EPCAM,CD8 T memory,2977,0,0.0,0.0,0.0,0.0
12,EPCAM,NK,2153,0,0.0,0.0,0.0,0.0
14,EPCAM,Platelet,103,0,0.0,0.0,0.0,0.0
16,EPCAM,Pre-B small,1025,0,0.0,0.0,0.0,0.0
18,EPCAM,T proliferating,47,0,0.0,0.0,0.0,0.0
33,HIST1H2AC,Platelet,103,61,6.242718,10.540983200073242,56.0,0.5922330097087378
35,HIST1H2AC,Pre-B small,1025,424,0.79219514,1.9150943756103516,13.0,0.41365853658536583
34,HIST1H2AC,Pre-B large,334,47,0.16766468,1.191489338874817,3.0,0.1407185628742515
28,HIST1H2AC,HSPC,973,128,0.19732785,1.5,10.0,0.131551901336074
25,HIST1H2AC,Erythroid early,1151,139,0.16507384,1.3669065237045288,13.0,0.12076455256298871
32,HIST1H2AC,Plasmacytoid DC,330,37,0.16060606,1.4324324131011963,7.0,0.11212121212121212
37,HIST1H2AC,T proliferating,47,5,0.14893617,1.399999976158142,2.0,0.10638297872340426
24,HIST1H2AC,Dendritic cell,497,33,0.086519115,1.303030252456665,3.0,0.06639839034205232
19,HIST1H2AC,B naive,5018,264,0.06377043,1.2121212482452393,15.0,0.05261060183339976
27,HIST1H2AC,Granulocyte precursor,926,37,0.039956804,1.0,1.0,0.03995680345572354
30,HIST1H2AC,Monocyte non-classical,901,30,0.067702554,2.0333333015441895,27.0,0.033296337402885685
31,HIST1H2AC,NK,2153,54,0.02786809,1.1111111640930176,3.0,0.025081281932187643
21,HIST1H2AC,CD4 T naive,10765,255,0.02656758,1.1215686798095703,4.0,0.023687877380399444
20,HIST1H2AC,CD4 T memory,2713,55,0.021378547,1.0545454025268555,2.0,0.020272760781422778
22,HIST1H2AC,CD8 T cytotoxic,2307,44,0.021239705,1.1136363744735718,3.0,0.01907238838318162
29,HIST1H2AC,Monocyte classical,5030,80,0.02723658,1.712499976158142,41.0,0.015904572564612324
23,HIST1H2AC,CD8 T memory,2977,41,0.015451797,1.1219512224197388,3.0,0.013772253946926436
36,HIST1H2AC,T activated,583,5,0.008576329,1.0,1.0,0.008576329331046312
26,HIST1H2AC,Erythroid late,597,2,0.0033500837,1.0,1.0,0.0033500837520938024
52,HIST1H2BJ,Platelet,103,36,0.80582523,2.305555582046509,10.0,0.34951456310679613
53,HIST1H2BJ,Pre-B large,334,16,0.047904193,1.0,1.0,0.04790419161676647
44,HIST1H2BJ,Erythroid early,1151,54,0.054735012,1.1666666269302368,4.0,0.04691572545612511
56,HIST1H2BJ,T proliferating,47,1,0.021276595,1.0,1.0,0.02127659574468085
51,HIST1H2BJ,Plasmacytoid DC,330,7,0.030303031,1.4285714626312256,4.0,0.021212121212121213
47,HIST1H2BJ,HSPC,973,17,0.018499486,1.058823585510254,2.0,0.017471736896197326
54,HIST1H2BJ,Pre-B small,1025,17,0.017560976,1.058823585510254,2.0,0.016585365853658537
43,HIST1H2BJ,Dendritic cell,497,7,0.014084507,1.0,1.0,0.014084507042253521
46,HIST1H2BJ,Granulocyte precursor,926,12,0.012958963,1.0,1.0,0.012958963282937365
49,HIST1H2BJ,Monocyte non-classical,901,3,0.0033296337,1.0,1.0,0.003329633740288568
50,HIST1H2BJ,NK,2153,5,0.002786809,1.2000000476837158,2.0,0.0023223409196470044
55,HIST1H2BJ,T activated,583,1,0.0017152659,1.0,1.0,0.0017152658662092624
42,HIST1H2BJ,CD8 T memory,2977,5,0.0016795432,1.0,1.0,0.0016795431642593216
