,HSPC,Granulocyte precursor,Monocyte classical,Monocyte non-classical,Dendritic cell,Plasmacytoid DC,Erythroid early,Erythroid late,Platelet,Pre-B large,Pre-B small,B naive,CD4 T naive,CD4 T memory,T activated,CD8 T memory,CD8 T cytotoxic,NK,T proliferating
HSPC,0.0,0.30389260020554987,0.0,0.015068296559834738,0.04966722224405012,0.03740092341711047,0.05468788367593129,0.0020673877265739455,0.7069863873117872,0.6984118543488562,0.03732794600556489,0.0,0.00045860862898825655,0.00045493198406363635,0.0,0.002072943353652411,0.0,0.004012825503647245,0.0
Granulocyte precursor,0.30389260020554987,0.0,0.1250465954274354,0.0,0.3783639336016097,0.0,0.0,0.0086892797319933,0.025182038834951456,0.0,0.0,0.0,0.003132257315373897,0.0,0.0,0.0,0.0,0.0,0.0
Monocyte classical,0.0,0.1250465954274354,0.0,0.4647783802181362,0.07013544987619555,0.0,0.0,0.0031993133327339147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monocyte non-classical,0.015068296559834738,0.0,0.4647783802181362,0.0,0.2494082837759074,0.0,0.0,0.0,0.0,0.0,0.0,0.0034530034273950075,0.0074288489901038895,0.003930289194174634,0.006858624303470701,0.0008954379059284332,0.0,0.0,0.0
Dendritic cell,0.04966722224405012,0.3783639336016097,0.07013544987619555,0.2494082837759074,0.0,0.28556395189317724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plasmacytoid DC,0.03740092341711047,0.0,0.0,0.0,0.28556395189317724,0.0,0.0,0.0,0.0,0.0,0.0,0.002900844837373335,0.0037185516333797805,0.0,0.13732489994282449,0.0,0.0,0.0,0.0
Erythroid early,0.05468788367593129,0.0,0.0,0.0,0.0,0.0,0.0,0.2027297288644206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erythroid late,0.0020673877265739455,0.0086892797319933,0.0031993133327339147,0.0,0.0,0.0,0.2027297288644206,0.0,0.15623831129758828,0.0,0.0,0.0,0.005605856733738362,0.0,0.0,0.0,0.0,0.0,0.0
Platelet,0.7069863873117872,0.025182038834951456,0.0,0.0,0.0,0.0,0.0,0.15623831129758828,0.0,0.0,0.0,0.0,0.061735177602712854,0.07735610455233521,0.0,0.0,0.0,0.0,0.0
Pre-B large,0.6984118543488562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22800907331678108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pre-B small,0.03732794600556489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22800907331678108,0.0,0.037824186586824016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B naive,0.0,0.0,0.0,0.0034530034273950075,0.0,0.002900844837373335,0.0,0.0,0.0,0.0,0.037824186586824016,0.0,0.0006891695932728568,0.000264636600534427,0.0016419876437962272,0.0,0.0,0.0,0.0
CD4 T naive,0.00045860862898825655,0.003132257315373897,0.0,0.0074288489901038895,0.0,0.0037185516333797805,0.0,0.005605856733738362,0.061735177602712854,0.0,0.0,0.0006891695932728568,0.0,0.3013219281541507,0.7156457860466747,0.009068419502296676,0.001547381693994187,0.0,0.0
CD4 T memory,0.00045493198406363635,0.0,0.0,0.003930289194174634,0.0,0.0,0.0,0.0,0.07735610455233521,0.0,0.0,0.000264636600534427,0.3013219281541507,0.0,0.3955746749182356,0.24593253244774627,0.00038374410099169324,0.0030839444065995226,0.913551821019363
T activated,0.0,0.0,0.0,0.006858624303470701,0.0,0.13732489994282449,0.0,0.0,0.0,0.0,0.0,0.0016419876437962272,0.7156457860466747,0.3955746749182356,0.0,1.0,0.07500189593756343,0.0,0.0
CD8 T memory,0.002072943353652411,0.0,0.0,0.0008954379059284332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009068419502296676,0.24593253244774627,1.0,0.0,0.19024426396332292,0.015738579301506628,0.060080073113730086
CD8 T cytotoxic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001547381693994187,0.00038374410099169324,0.07500189593756343,0.19024426396332292,0.0,0.3186639176069278,0.0
NK,0.004012825503647245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030839444065995226,0.0,0.015738579301506628,0.3186639176069278,0.0,0.8663434124576296
T proliferating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.913551821019363,0.0,0.060080073113730086,0.0,0.8663434124576296,0.0
