,HSPC,Granulocyte precursor,Monocyte classical,Monocyte non-classical,Dendritic cell,Plasmacytoid DC,Erythroid early,Erythroid late,Platelet,Pre-B large,Pre-B small,B naive,CD4 T naive,CD4 T memory,T activated,CD8 T memory,CD8 T cytotoxic,NK,T proliferating
HSPC,0.0,0.659766829393628,0.011532571017880385,0.001369845141803158,0.47183861131847615,0.37400923417110465,0.6551822926665494,0.028943428172035237,0.3235361433460721,1.0,0.22155942145238514,0.011806110540594456,0.02075204046171861,0.0063690477768909085,0.010585167004842586,0.0,0.0,0.0045860862898825655,0.682765793444272
Granulocyte precursor,0.659766829393628,0.0,0.5806287276341948,0.0,1.0,0.0,0.0,0.0173785594639866,0.05036407766990291,0.0,0.0,0.001033778397768035,0.006625928936367859,0.00047802248433468486,0.0,0.0,0.0,0.014456572224802601,0.0
Monocyte classical,0.011532571017880385,0.5806287276341948,0.0,1.0,0.2925512943465965,0.001446962166395566,0.0,0.01839605166322001,0.08344616765426856,0.0007148166390876299,0.0,0.0007136770350396624,0.00046574304752072793,8.800175357731971e-05,0.0008190351885257922,8.019776871188055e-05,0.0,0.0007762384125345465,0.0
Monocyte non-classical,0.001369845141803158,0.0,1.0,0.0,0.7267703753039882,0.06462348232603504,0.0,0.03348892771292645,0.1811653448703167,0.0,0.0013003505589994856,0.0010624625930446177,0.01386718478152726,0.010317009134708415,0.0320069134161966,0.005372627435570599,0.0034664741819882255,0.0,0.7373264339858785
Dendritic cell,0.47183861131847615,1.0,0.2925512943465965,0.7267703753039882,0.0,1.0,0.0,0.0,0.5395644498056299,0.11575139459511559,0.0,0.00048152856958410487,0.00022445985714566078,0.013359622348911013,0.0,0.0,0.0,0.003366897857184912,0.0
Plasmacytoid DC,0.37400923417110465,0.0,0.001446962166395566,0.06462348232603504,1.0,0.0,0.0,0.0,0.9186102530155928,0.0,0.0035503510716925354,0.03916140530454002,0.013183955791073766,0.020120400931541733,0.07490449087790427,0.009779267312018404,0.0,0.008451253712226775,0.0
Erythroid early,0.6551822926665494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0005815284917535712,0.0,0.0,0.0,0.0,0.0,0.0
Erythroid late,0.028943428172035237,0.0173785594639866,0.01839605166322001,0.03348892771292645,0.0,0.0,1.0,0.0,0.09764894456099267,0.012045318909918857,0.0,0.0,0.020181084241458105,0.0007414553107100807,0.0,0.000675703143418357,0.0,0.0009343094556230604,0.0
Platelet,0.3235361433460721,0.05036407766990291,0.08344616765426856,0.1811653448703167,0.5395644498056299,0.9186102530155928,0.0,0.09764894456099267,0.0,0.6981607174001512,0.0,0.06273429005096216,0.05523673785505887,0.08165366591635384,0.0,0.031331633135592944,0.0,0.13538416140945803,0.0
Pre-B large,1.0,0.0,0.0007148166390876299,0.0,0.11575139459511559,0.0,0.0,0.012045318909918857,0.6981607174001512,0.0,0.19994641813933112,0.0,0.004008019724600961,0.00132529586974227,0.0,0.0,0.0,0.006680032874334934,0.5355041247292649
Pre-B small,0.22155942145238514,0.0,0.0,0.0013003505589994856,0.0,0.0035503510716925354,0.0,0.0,0.0,0.19994641813933112,0.0,0.17114277017371607,0.0070743177415517776,0.0,0.0,0.0,0.0,0.0,0.0
B naive,0.011806110540594456,0.001033778397768035,0.0007136770350396624,0.0010624625930446177,0.00048152856958410487,0.03916140530454002,0.0,0.0,0.06273429005096216,0.0,0.17114277017371607,0.0,0.003334691580352533,0.0039695490080164045,0.0016419876437962272,0.0012862328469374544,0.0,0.0001111563860117511,0.0
CD4 T naive,0.02075204046171861,0.006625928936367859,0.00046574304752072793,0.01386718478152726,0.00022445985714566078,0.013183955791073766,0.0005815284917535712,0.020181084241458105,0.05523673785505887,0.004008019724600961,0.0070743177415517776,0.003334691580352533,0.0,0.947675556518656,0.8666202580228315,0.08273995975649198,0.013926435245947682,0.003730641675847806,0.002373543595774328
CD4 T memory,0.0063690477768909085,0.00047802248433468486,8.800175357731971e-05,0.010317009134708415,0.013359622348911013,0.020120400931541733,0.0,0.0007414553107100807,0.08165366591635384,0.00132529586974227,0.0,0.0039695490080164045,0.947675556518656,0.0,1.0,0.6076942322333367,0.030315783978343766,0.009251833219798567,1.0
T activated,0.010585167004842586,0.0,0.0008190351885257922,0.0320069134161966,0.0,0.07490449087790427,0.0,0.0,0.0,0.0,0.0,0.0016419876437962272,0.8666202580228315,1.0,0.0,1.0,0.171432905000145,0.017221422658877196,0.0
CD8 T memory,0.0,0.0,8.019776871188055e-05,0.005372627435570599,0.0,0.009779267312018404,0.0,0.000675703143418357,0.031331633135592944,0.0,0.0,0.0012862328469374544,0.08273995975649198,0.6076942322333367,1.0,0.0,1.0,0.07007415069956523,1.0
CD8 T cytotoxic,0.0,0.0,0.0,0.0034664741819882255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013926435245947682,0.030315783978343766,0.171432905000145,1.0,0.0,1.0,0.13290609523282518
NK,0.0045860862898825655,0.014456572224802601,0.0007762384125345465,0.0,0.003366897857184912,0.008451253712226775,0.0,0.0009343094556230604,0.13538416140945803,0.006680032874334934,0.0,0.0001111563860117511,0.003730641675847806,0.009251833219798567,0.017221422658877196,0.07007415069956523,1.0,0.0,0.4035024112816357
T proliferating,0.682765793444272,0.0,0.0,0.7373264339858785,0.0,0.0,0.0,0.0,0.0,0.5355041247292649,0.0,0.0,0.002373543595774328,1.0,0.0,1.0,0.13290609523282518,0.4035024112816357,0.0
