cell_type,Erythroid early,B naive,Monocyte non-classical,NK
HSPC,0.08035891056795406,0.3719214721087417,0.26361236176266883,0.28410288854699167
Granulocyte precursor,0.009565276066201507,0.06240915745876388,0.8394540832738357,0.0885683944439715
Monocyte classical,0.002455171075845867,0.041639185470308794,0.9265370662457266,0.02936602862003928
Monocyte non-classical,0.0014994362275121075,0.037790192726770366,0.9134447016524601,0.04726421140552797
Dendritic cell,0.012250979156835153,0.07679394949877442,0.8632557537837539,0.04769647074643055
Plasmacytoid DC,0.007045012859862044,0.539763527441996,0.2636748183651414,0.18950494856198136
Erythroid early,0.9209747510018964,0.011073729333241845,0.021856790123067925,0.04609452243175225
Erythroid late,0.5331587088784701,0.04980037451621901,0.08793613101764346,0.3290991199515345
Platelet,0.06893240932279332,0.18057237096692974,0.09185750797108107,0.658635600735434
Pre-B large,0.011853000666650135,0.7817431672208526,0.09242333247190457,0.11397349912019267
Pre-B small,0.0011510548997905718,0.9482878594544962,0.013776264686569395,0.036785937686459706
B naive,0.0003559185493104339,0.9732092174581827,0.008430476514302487,0.018005063647207036
CD4 T naive,0.009000089184824558,0.07138904341585503,0.025843496299482682,0.8937609983134356
CD4 T memory,0.007950426528952118,0.06466169432372987,0.02407595673820255,0.9033057818458369
T activated,0.0074662369311582115,0.06317918704871178,0.023146593001287318,0.906202074868799
CD8 T memory,0.0048950206352049745,0.041606724712497246,0.015566617898795721,0.9379266650915352
CD8 T cytotoxic,0.0024250740518938097,0.021109500112996366,0.008111894790359335,0.9683498593350843
NK,0.0009868290913689283,0.008827740212680403,0.0037089196471581155,0.9864745217987992
T proliferating,0.00786041119114143,0.07757814411309417,0.043496694603217506,0.8710603230351578
