cell_type,Pre-B large,Erythroid early,B naive,Monocyte non-classical,NK
HSPC,0.18613119094984967,0.07825526125961474,0.22535691533342872,0.24688246485883822,0.2633698017166641
Granulocyte precursor,0.01056784178855009,0.009443082180120594,0.054150613560325106,0.8384797077208082,0.08735244448176689
Monocyte classical,0.0009534025161974965,0.0024420910991192466,0.040951814194525114,0.9264294094142332,0.029217615348970636
Monocyte non-classical,0.0010275141886746742,0.0014860566406172126,0.037037137006263404,0.9133318108812493,0.047114442271259674
Dendritic cell,0.008308581596584003,0.01215471049443308,0.07035031802175999,0.8624753856407623,0.046705480957359484
Plasmacytoid DC,0.041029478603966975,0.0065736662626657725,0.5082355407268608,0.2597351797428268,0.18441661474739116
Erythroid early,0.0039850571496829156,0.9209292982779657,0.007937781519366076,0.02149511076824387,0.045651608472841866
Erythroid late,0.011153798517228003,0.5330285829232773,0.041032687612998976,0.08690756641269434,0.3278628632926139
Platelet,0.02831467071298129,0.06860229208083511,0.15842036318588315,0.0892270059548369,0.655417884224379
Pre-B large,0.8928563141909914,0.0018256717511176386,0.07674573531668348,0.012934040559912579,0.015638165035171587
Pre-B small,0.03020055189164488,0.0007969585428419683,0.9256964058145605,0.010693941346558558,0.03261272692590833
B naive,0.004261367379237839,0.00028690878246038094,0.9714764373821945,0.007536274191704406,0.01643843917261355
CD4 T naive,0.004103044646552401,0.008943637471979588,0.06819726967474288,0.0254086322640099,0.8933388808650403
CD4 T memory,0.003973028526374737,0.007895559005670691,0.0615602411874274,0.023656312498530008,0.9029068262738749
T activated,0.003641265732261716,0.0074151061790279195,0.06033676157814159,0.02275720540020856,0.905842048702573
CD8 T memory,0.0026162152043878546,0.004855820300281198,0.03953528771832043,0.015279973385042568,0.9377069845109909
CD8 T cytotoxic,0.001536066416215147,0.002398699583293887,0.01985664201897712,0.007933218577406469,0.9682719364832929
NK,0.0009430135479584854,0.0009668464344080276,0.008016368219814942,0.003587146349892855,0.9864850446346414
T proliferating,0.04135701337449161,0.0073852227842820615,0.044967144855006726,0.039748318933871256,0.8665376955862616
