cell_type,diffmap_pca_marker,diffmap_pca_diffusion,diffmap_scvi_marker,diffmap_scvi_diffusion
HSPC,0.1546141422326413,0.1546141422326413,0.17187968414278448,0.49800353655622054
Granulocyte precursor,0.4935110496282064,0.4935110496282064,0.383776409127498,0.20339421848079467
Monocyte classical,0.7292898233820023,0.7292898233820023,0.5267961700826188,0.08293290468329138
Monocyte non-classical,0.7398161801018993,0.7398161801018993,0.5667593259131477,0.05918974169400957
Dendritic cell,0.5468639074516077,0.5468639074516077,0.4513095468411885,0.16389593430394891
Plasmacytoid DC,0.8216589092608259,0.8216589092608259,0.596873235283053,0.5242118480495277
Erythroid early,0.5763799887707604,0.5763799887707604,0.633427907210982,0.8774028005514553
Erythroid late,0.6611228570108487,0.6611228570108487,0.6081647715213979,0.8086147950594835
Platelet,0.6759590784007509,0.6759590784007509,0.7194422459052687,0.7645462642821599
Pre-B large,0.7142896971573336,0.7142896971573336,0.5173133987873846,0.6557600997460385
Pre-B small,0.8001931707408272,0.8001931707408272,0.7453985626440929,0.8339903021016156
B naive,0.8439235043794127,0.8439235043794127,0.8146320168300347,0.6664247491841143
CD4 T naive,0.5880577477110343,0.5880577477110343,0.5021395722523364,0.5044835904542372
CD4 T memory,0.594940736242389,0.594940736242389,0.5050776615314875,0.5055443289203823
T activated,0.5997090730333278,0.5997090730333278,0.5044796258722788,0.5047676478788014
CD8 T memory,0.5843505626579325,0.5843505626579325,0.5153792773027016,0.5110688498701395
CD8 T cytotoxic,0.6534112609729804,0.6534112609729804,0.5235229009990803,0.5168468727472395
NK,0.7041202616156177,0.7041202616156177,0.5307773578331308,0.5125881564763168
T proliferating,0.41532066485904356,0.41532066485904356,0.4492339356378971,0.45843407754408466
