cell_type,Platelet,Plasmacytoid DC,Pre-B large,Erythroid late,Erythroid early,B naive,Monocyte classical,NK
Platelet,0.5375403139888779,0.016072909364523814,0.016513779057425015,0.0783922918403224,0.008282977342913266,0.04182936171720701,0.031465860152533734,0.2698985668817424
Plasmacytoid DC,0.0008572986084007839,0.8477436458140782,0.004965840863522415,0.0010048378098825718,0.00038184448573166593,0.08923228002956905,0.022563967029501128,0.033249847088518164
Pre-B large,0.00031192640484073187,0.00782091483417493,0.891994580980507,0.001541336458061821,0.001047441390937713,0.07355311448139337,0.009656204844889629,0.014074751187844247
Erythroid late,0.0005041212288703523,0.0014507501312387035,0.0013715474667145503,0.825340425191035,0.13059706182539646,0.0039135222315216205,0.009194211845453425,0.027627699535246266
Erythroid early,0.00033799908188219527,0.0017789019331838664,0.002673541571346972,0.10670362944321057,0.8685049892552055,0.0029437967575462257,0.010018586491308134,0.007037708684014322
B naive,0.00037941333470140645,0.0061113893774004885,0.00409215229612961,0.0003759982928033494,6.763717678736506e-05,0.9682223447121958,0.005190856627110243,0.015561348184173655
Pre-B small,0.0004968125570582253,0.009533182643821877,0.029867848766346787,0.0009939125222619798,0.0002521530689470391,0.9208639225606631,0.00711363143751253,0.0308809018207549
Monocyte classical,0.0008553254306022103,0.0310847333779113,0.0012777800581633353,0.0059580773240725795,0.0009252796462835033,0.07516575886236027,0.8295358259275163,0.05519055944409625
Monocyte non-classical,0.0012961933910347412,0.03971213398458139,0.0018378377383120863,0.006195656771088711,0.0010849683152890294,0.09634276452181992,0.7618777796737549,0.09164365112683916
Granulocyte precursor,0.0014934579341526338,0.036759325326511834,0.010270692330992544,0.015165045740955979,0.0031020117001803525,0.07747029521685203,0.7523388973394105,0.10339387096001564
Dendritic cell,0.0014790660192757433,0.07296897090945044,0.006922006866057442,0.009773195813697387,0.008748728422391995,0.08878789867580082,0.7441895647943305,0.06712405320566435
NK,0.0006757719851600798,0.0022712507190190668,0.0007600703386498426,0.0015538913776357271,0.00014121100430383049,0.00658076248079227,0.0023158001793661368,0.9856980762170813
CD8 T cytotoxic,0.0017275738849865567,0.00495844431750722,0.0011998852820743228,0.004019396669297496,0.00032145359416402015,0.016996586181589203,0.005241827274702543,0.9655284428137878
CD8 T memory,0.0035735881983084933,0.00954797379728987,0.0020153397147625487,0.008234254912944154,0.0006347794378670837,0.034210668378772555,0.010163465226991809,0.9316105304126607
T activated,0.004958058348205718,0.014431886803981409,0.0027690606223924937,0.012690608920313705,0.0009492699512867917,0.05248079569620981,0.015140973364961669,0.8965675254703327
CD4 T memory,0.005514260287968968,0.015149615629263764,0.003051686612682146,0.01344367547960497,0.001036493104166645,0.05323758751104955,0.015667594717546886,0.8928867318259556
CD4 T naive,0.005935291331053094,0.01536313255979008,0.0031463512045430864,0.01535990152863667,0.001136807037831308,0.05969134908959556,0.016991004390612196,0.88236305881457
T proliferating,0.0036175185382001846,0.023451782467630865,0.040146491119648936,0.00829014675097971,0.003072782289018426,0.03391130171850446,0.028658067344938126,0.858844664961526
HSPC,0.008182261795293414,0.09282254993124786,0.18171167169142313,0.04648498529243644,0.05501242969434036,0.1877496708522475,0.19499713700514051,0.23303580669317417
