cell_type,n_cells,median_pseudotime,mean_entropy,mean_top_probability,dominant_terminal
HSPC,973,0.1293674851549076,0.8041657206784207,0.335076708233789,NK
T proliferating,47,0.4039023291833152,0.302294370623442,0.858844664961526,NK
Granulocyte precursor,926,0.5295933955586016,0.41440416008452835,0.7543550900207392,Monocyte classical
CD8 T memory,2977,0.579843290876116,0.16741819677631625,0.9316105304126607,NK
Dendritic cell,497,0.5845755920418334,0.4394408613927108,0.7467454107181583,Monocyte classical
CD4 T naive,10765,0.5889326234894415,0.2557641795976296,0.8823748909711094,NK
CD4 T memory,2713,0.5943321080922673,0.2389097566725262,0.8928867318259556,NK
Platelet,103,0.5952721649779023,0.3797349640564783,0.7362468389681754,Platelet
T activated,583,0.5985087050022236,0.23114841520180146,0.8965675254703327,NK
Erythroid early,1151,0.6222653543202415,0.21620111334453385,0.8686163203883607,Erythroid early
CD8 T cytotoxic,2307,0.6673560433563182,0.09601994862043504,0.9655284428137878,NK
Erythroid late,597,0.6733994061101033,0.23634818686673273,0.8334314054755493,Erythroid late
NK,2153,0.7096124123194646,0.045731821179849495,0.9856980762170813,NK
Pre-B large,334,0.7209750107243438,0.19625320657269393,0.891994580980507,Pre-B large
Monocyte classical,5030,0.733602404762026,0.3206877017976611,0.8295358259275163,Monocyte classical
Monocyte non-classical,901,0.7438406688989128,0.37586155382483377,0.782349868056746,Monocyte classical
Pre-B small,1025,0.8317630801033095,0.17408738547532193,0.9208639225606631,B naive
B naive,5018,0.8467365307365189,0.08701444112357971,0.9682328157784638,B naive
Plasmacytoid DC,330,0.856862927791345,0.22602689318811717,0.8599986318718841,Plasmacytoid DC
